,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q10909065,uri,http://www.wikidata.org/entity/Q82087991,literal,Cyclea tonkinensis,literal,ANOXEUSGZWSCQL-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC5=CC=C(C=C5)CC6C7=C1C(OC)=C(OC)C=C7CCN6C)C(OC)=C(OC)C=C4CCN3C,literal,580716-1,literal,16846-79-0,en,literal,NSC615580,literal,10.1021/JO00950A016,,
1,uri,http://www.wikidata.org/entity/Q10909065,uri,http://www.wikidata.org/entity/Q82087991,literal,Cyclea tonkinensis,literal,ANOXEUSGZWSCQL-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC5=CC=C(C=C5)CC6C7=C1C(OC)=C(OC)C=C7CCN6C)C(OC)=C(OC)C=C4CCN3C,literal,580716-1,literal,16846-79-0,en,literal,NSC615580,literal,10.1055/S-2007-969958,,
2,uri,http://www.wikidata.org/entity/Q10909065,uri,http://www.wikidata.org/entity/Q82087991,literal,Cyclea tonkinensis,literal,ANOXEUSGZWSCQL-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC5=CC=C(C=C5)CC6C7=C1C(OC)=C(OC)C=C7CCN6C)C(OC)=C(OC)C=C4CCN3C,literal,580716-1,literal,16846-79-0,en,literal,NSC615580,literal,10.1016/S0031-9422(00)83824-8,,
3,uri,http://www.wikidata.org/entity/Q10909065,uri,http://www.wikidata.org/entity/Q82087991,literal,Cyclea tonkinensis,literal,ANOXEUSGZWSCQL-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC5=CC=C(C=C5)CC6C7=C1C(OC)=C(OC)C=C7CCN6C)C(OC)=C(OC)C=C4CCN3C,literal,580716-1,literal,16846-79-0,en,literal,NSC615580,literal,10.1021/NP50063A032,,
4,uri,http://www.wikidata.org/entity/Q13113175,uri,http://www.wikidata.org/entity/Q7706612,literal,Cyclea peltata,literal,WVTKBKWTSCPRNU-KYJUHHDHSA-N,literal,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,literal,580706-1,literal,518-34-3,en,literal,tetrandrine,literal,10.1021/NP50101A020,literal,CHEMBL176045
5,uri,http://www.wikidata.org/entity/Q13113175,uri,http://www.wikidata.org/entity/Q7706612,literal,Cyclea peltata,literal,WVTKBKWTSCPRNU-KYJUHHDHSA-N,literal,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,literal,580706-1,literal,518-34-3,en,literal,tetrandrine,literal,10.1055/S-2006-960946,literal,CHEMBL176045
6,uri,http://www.wikidata.org/entity/Q13113175,uri,http://www.wikidata.org/entity/Q7706612,literal,Cyclea peltata,literal,WVTKBKWTSCPRNU-KYJUHHDHSA-N,literal,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,literal,580706-1,literal,518-34-3,en,literal,tetrandrine,literal,10.1021/NP50091A004,literal,CHEMBL176045
7,uri,http://www.wikidata.org/entity/Q11126748,uri,http://www.wikidata.org/entity/Q7706612,literal,Cyclea barbata,literal,WVTKBKWTSCPRNU-KYJUHHDHSA-N,literal,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,literal,580678-1,literal,518-34-3,en,literal,tetrandrine,literal,10.1021/NP50101A020,literal,CHEMBL176045
8,uri,http://www.wikidata.org/entity/Q13113175,uri,http://www.wikidata.org/entity/Q82087991,literal,Cyclea peltata,literal,ANOXEUSGZWSCQL-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC5=CC=C(C=C5)CC6C7=C1C(OC)=C(OC)C=C7CCN6C)C(OC)=C(OC)C=C4CCN3C,literal,580706-1,literal,16846-79-0,en,literal,NSC615580,literal,10.1055/S-2007-969958,,
9,uri,http://www.wikidata.org/entity/Q13113175,uri,http://www.wikidata.org/entity/Q82087991,literal,Cyclea peltata,literal,ANOXEUSGZWSCQL-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC5=CC=C(C=C5)CC6C7=C1C(OC)=C(OC)C=C7CCN6C)C(OC)=C(OC)C=C4CCN3C,literal,580706-1,literal,16846-79-0,en,literal,NSC615580,literal,10.1016/S0031-9422(00)83824-8,,
