,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q17238266,uri,http://www.wikidata.org/entity/Q110080702,literal,Alluaudiopsis marnieriana,literal,XUDRGVRVQBMMIB-UHFFFAOYSA-N,literal,O=C1C=C(OC2=C1C(O)=C(C(O)=C2C)C)C=3C=C(O)C(OC)=C(OC)C3,literal,316437-1,en,literal,"5,7,3'-Trihydroxy-4',5'-dimethoxy-6,8-dimethylflavone",literal,10.1016/0031-9422(83)80057-0,,
1,uri,http://www.wikidata.org/entity/Q1249548,uri,http://www.wikidata.org/entity/Q110081826,literal,Alluaudia humbertii,literal,NSLVKGGYZYYMTB-UHFFFAOYSA-N,literal,O=C1C(O)=C(OC2=C1C(O)=C(C(O)=C2C)C)C=3C=C(O)C(OC)=C(O)C3,literal,316433-1,en,literal,"6,8-Di-C-methylmyricetin 4'-methyl ether",literal,10.1016/0031-9422(79)80108-9,,
2,uri,http://www.wikidata.org/entity/Q17238266,uri,http://www.wikidata.org/entity/Q105138231,literal,Alluaudiopsis marnieriana,literal,KBHNNERSMMYNCG-ZDUSSCGKSA-N,literal,O=C1C=2C(O)=C(C(O)=C(C2OC(C3=CC(O)=C(OC)C(OC)=C3)C1)C)C,literal,316437-1,en,literal,"(2S)-5,7-dihydroxy-2-(3-hydroxy-4,5-dimethoxyphenyl)-6,8-dimethyl-2,3-dihydrochromen-4-one",literal,10.1016/0031-9422(83)80057-0,,
3,uri,http://www.wikidata.org/entity/Q21253092,uri,http://www.wikidata.org/entity/Q105312786,literal,Decaryia madagascariensis,literal,WTTGIVJDHDPLCL-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(OC)C(O)=C12)C=3C=C(O)C(OC)=C(OC)C3,,,en,literal,"5,7,3'-Trihydroxy-3,6,4',5'-tetramethoxyflavone",literal,10.1016/0031-9422(80)87051-8,,
4,uri,http://www.wikidata.org/entity/Q1249548,uri,http://www.wikidata.org/entity/Q110204580,literal,Alluaudia humbertii,literal,NTCHNMYCUMBOPY-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=C1C(O)=C(C(O)=C2C)C)C=3C=C(O)C(OC)=C(O)C3,literal,316433-1,en,literal,"6,8-Di-C-methylmyricetin 3,4'-dimethyl ether",literal,10.1016/S0044-328X(79)80093-8,,
5,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q115950627,literal,Alluaudia dumosa,literal,NFGDOGRJZAHPDV-AMGIVPHBSA-N,literal,O=C1C(OC)=C(OC=2C=C(O)C=C(O)C12)C=3C=C(O)C=4OC(C=5C=C(O)C=C(O)C5)C(C6=CC=C(O)C=C6)C4C3O,literal,316431-1,en,literal,"2-[(2R,3R)-2-(3,5-dihydroxyphenyl)-4,7-dihydroxy-3-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-5-yl]-5,7-dihydroxy-3-methoxychromen-4-one",literal,10.1016/0031-9422(91)84229-L,,
6,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q110204699,literal,Alluaudia dumosa,literal,NYLZWWYZSQFXJT-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C(O)=C(O)C3,literal,316431-1,en,literal,alluaudiol,literal,10.1016/S0031-9422(00)84303-4,,
7,uri,http://www.wikidata.org/entity/Q2649488,uri,http://www.wikidata.org/entity/Q105383457,literal,Alluaudia ascendens,literal,ZUBFWGOFMRYWNS-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(OC)C(O)=C12)C=3C=C(O)C(O)=C(O)C3,literal,316429-1,en,literal,"5,7,3',4',5'-Pentahydroxy-3,6-dimethoxyflavone",literal,10.1016/0031-9422(79)80108-9,,
8,uri,http://www.wikidata.org/entity/Q2649488,uri,http://www.wikidata.org/entity/Q27138347,literal,Alluaudia ascendens,literal,MVJHAGLBHWPKLS-UHFFFAOYSA-N,literal,COC1=C(C=C(C=C1O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,literal,316429-1,en,literal,"5,7,3',5'-tetrahydroxy-3,4'-dimethyoxyflavone",literal,10.1016/0031-9422(79)80108-9,literal,CHEMBL1689268
9,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q110081685,literal,Alluaudia dumosa,literal,PDQBGPYEIJEFRK-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C(OC)=C(O)C3,literal,316431-1,en,literal,"6-C-Methylmyricetin 3,4'-dimethyl ether",literal,10.1016/S0044-328X(79)80093-8,,
10,uri,http://www.wikidata.org/entity/Q2649488,uri,http://www.wikidata.org/entity/Q104999163,literal,Alluaudia ascendens,literal,FPFLMCPZDZURSF-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(OC)C(O)=C12)C=3C=C(O)C(OC)=C(O)C3,literal,316429-1,en,literal,"5,7,3',5'-Tetrahydroxy-3,6,4'-trimethoxyflavone",literal,10.1016/0031-9422(79)80108-9,,
11,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q110204655,literal,Alluaudia dumosa,literal,YHWRWADGJQENEZ-UHFFFAOYSA-N,literal,O=C1C(O)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C(OC)=C(O)C3,literal,316431-1,en,literal,dumosol,literal,10.1016/S0044-328X(79)80093-8,,
12,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q105205945,literal,Alluaudia dumosa,literal,PCRPRSKMNFYFSI-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=C1C(O)=C(C(OC)=C2C)C)C=3C=CC(O)=CC3,literal,316431-1,en,literal,"6,8-Di-C-methylkaempferol 3,7-dimethyl ether",literal,10.1016/S0031-9422(00)97909-3,,
13,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q104988958,literal,Alluaudia dumosa,literal,DTOUWUNQCABKEZ-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC=2C=C(OC)C(=C(O)C12)C)C=3C=CC(O)=CC3,literal,316431-1,en,literal,8-demethyllatifolin,literal,10.1016/S0031-9422(00)97909-3,,
14,uri,http://www.wikidata.org/entity/Q1249548,uri,http://www.wikidata.org/entity/Q110081685,literal,Alluaudia humbertii,literal,PDQBGPYEIJEFRK-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C(OC)=C(O)C3,literal,316433-1,en,literal,"6-C-Methylmyricetin 3,4'-dimethyl ether",literal,10.1016/S0044-328X(79)80093-8,,
15,uri,http://www.wikidata.org/entity/Q1249548,uri,http://www.wikidata.org/entity/Q105340438,literal,Alluaudia humbertii,literal,XRFNWLUYIPSCPB-DOTOQJQBSA-N,literal,O=C1C=2C(O)=C(C(O)=C(C2OC(C3=CC(O)=C(O)C(O)=C3)C1O)C)C,literal,316433-1,en,literal,"(2R,3R)-3,5,7-trihydroxy-6,8-dimethyl-2-(3,4,5-trihydroxyphenyl)-2,3-dihydrochromen-4-one",literal,10.1016/S0031-9422(00)85532-6,,
16,uri,http://www.wikidata.org/entity/Q21253092,uri,http://www.wikidata.org/entity/Q105257444,literal,Decaryia madagascariensis,literal,SPLCCLBYRBKYMR-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(OC)C(O)=C12)C=3C=C(O)C(O)=C(OC)C3,,,en,literal,"5,7,3',4'-Tetrahydroxy-3,6,5'-trimethoxyflavone",literal,10.1016/0031-9422(80)87051-8,,
17,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q115950628,literal,Alluaudia dumosa,literal,DXWYAIBEHUCFNX-DFHRPNOPSA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C=4OC(C=5C=C(O)C=C(O)C5)C(C6=CC=C(O)C=C6)C4C3O,literal,316431-1,en,literal,"2-[(2R,3R)-2-(3,5-dihydroxyphenyl)-4,7-dihydroxy-3-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-5-yl]-5,7-dihydroxy-3-methoxy-6-methylchromen-4-one",literal,10.1016/0031-9422(91)84229-L,,
18,uri,http://www.wikidata.org/entity/Q1249548,uri,http://www.wikidata.org/entity/Q104957764,literal,Alluaudia humbertii,literal,CGKAZAIWHLDXML-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=C1C(O)=C(C(O)=C2C)C)C=3C=C(O)C(O)=C(O)C3,literal,316433-1,en,literal,"6,8-Di-C-methylmyricetin 3-methyl ether",literal,10.1016/S0031-9422(00)85532-6,,
19,uri,http://www.wikidata.org/entity/Q2649488,uri,http://www.wikidata.org/entity/Q110204572,literal,Alluaudia ascendens,literal,FYTXEZMPJUVWOR-UHFFFAOYSA-N,literal,O=C1C(O)=C(OC2=CC(O)=C(OC)C(O)=C12)C=3C=C(O)C(OC)=C(O)C3,literal,316429-1,en,literal,"3,5,7,3',5'-Pentahydroxy-6,4'-dimethoxyflavone",literal,10.1016/0031-9422(79)80108-9,,
20,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q110204580,literal,Alluaudia dumosa,literal,NTCHNMYCUMBOPY-UHFFFAOYSA-N,literal,O=C1C(OC)=C(OC2=C1C(O)=C(C(O)=C2C)C)C=3C=C(O)C(OC)=C(O)C3,literal,316431-1,en,literal,"6,8-Di-C-methylmyricetin 3,4'-dimethyl ether",literal,10.1016/S0044-328X(79)80093-8,,
21,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q105178449,literal,Alluaudia dumosa,literal,NFGDOGRJZAHPDV-WXVAWEFUSA-N,literal,O=C1C(OC)=C(OC=2C=C(O)C=C(O)C12)C=3C=C(O)C=4OC(C=5C=C(O)C=C(O)C5)C(C6=CC=C(O)C=C6)C4C3O,literal,316431-1,en,literal,"2-[(2S,3S)-2-(3,5-dihydroxyphenyl)-4,7-dihydroxy-3-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-5-yl]-5,7-dihydroxy-3-methoxychromen-4-one",literal,10.1016/0031-9422(91)84229-L,,
22,uri,http://www.wikidata.org/entity/Q2649485,uri,http://www.wikidata.org/entity/Q104991240,literal,Alluaudia dumosa,literal,DXWYAIBEHUCFNX-RBISFHTESA-N,literal,O=C1C(OC)=C(OC2=CC(O)=C(C(O)=C12)C)C=3C=C(O)C=4OC(C=5C=C(O)C=C(O)C5)C(C6=CC=C(O)C=C6)C4C3O,literal,316431-1,en,literal,"2-[(2S,3S)-2-(3,5-dihydroxyphenyl)-4,7-dihydroxy-3-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-5-yl]-5,7-dihydroxy-3-methoxy-6-methylchromen-4-one",literal,10.1016/0031-9422(91)84229-L,,
