,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q7247550,literal,Cinnamomum pachyphyllum,literal,NSEWTSAADLNHNH-LSBOWGMISA-N,literal,C1C(C(OC2=C3C4C(C(OC5=CC(=CC(=C45)O)O)(OC3=CC(=C21)O)C6=CC(=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O,literal,41743-41-3,literal,1000924-1,en,literal,proanthocyanidin A2,literal,CHEMBL286933,literal,10.1248/CPB.34.643
1,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q7247550,literal,Cinnamomum pachyphyllum,literal,NSEWTSAADLNHNH-LSBOWGMISA-N,literal,C1C(C(OC2=C3C4C(C(OC5=CC(=CC(=C45)O)O)(OC3=CC(=C21)O)C6=CC(=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O,literal,41743-41-3,literal,1000924-1,en,literal,proanthocyanidin A2,literal,CHEMBL286933,literal,10.1248/CPB.34.633
2,uri,http://www.wikidata.org/entity/Q15606981,uri,http://www.wikidata.org/entity/Q72437390,literal,Cinnamomum tenuifolium,literal,FHEHIXJLCWUPCZ-UHFFFAOYSA-N,literal,C=CCC1=CC(=C(C=C1)O)O,literal,1126-61-0,literal,463723-1,en,literal,4-allylpyrocatechol,,,literal,10.1021/NP900225P
3,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q5121058,literal,Cinnamomum pachyphyllum,literal,BYSRPHRKESMCPO-LQNPQWRQSA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C5C6C(C(OC7=CC(=CC(=C67)O)O)(OC5=CC(=C34)O)C8=CC(=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O)O)C1=CC(=C(C=C1)O)O)O,literal,88082-60-4,literal,1000924-1,en,literal,cinnamtannin b1,literal,CHEMBL540956,literal,10.1021/NP1007944
4,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q63409374,literal,Cinnamomum pachyphyllum,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,,,literal,1000924-1,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",,,literal,10.1021/NP100874F
5,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q63409374,literal,Cinnamomum pachyphyllum,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,,,literal,1000924-1,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",,,literal,10.1021/NP900225P
6,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q63409374,literal,Cinnamomum pachyphyllum,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,,,literal,1000924-1,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",,,literal,10.1021/NP010236W
7,uri,http://www.wikidata.org/entity/Q15606981,uri,http://www.wikidata.org/entity/Q51617501,literal,Cinnamomum tenuifolium,literal,KSEBMYQBYZTDHS-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,1135-24-6,literal,463723-1,en,literal,(E/Z)-ferulic acid,,,literal,10.1021/NP900225P
8,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q418599,literal,Cinnamomum pachyphyllum,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,c1cc(c(cc1C(=O)O)O)O,literal,99-50-3,literal,1000924-1,en,literal,"3,4-dihydroxybenzoic acid",literal,CHEMBL37537,literal,10.4268/CJCMM20151816
9,uri,http://www.wikidata.org/entity/Q15607176,uri,http://www.wikidata.org/entity/Q51617472,literal,Cinnamomum pachyphyllum,literal,PFTAWBLQPZVEMU-UHFFFAOYSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,literal,13392-26-2,literal,1000924-1,,literal,Q51617472,,,literal,10.1248/CPB.34.633
