,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q4133798,uri,http://www.wikidata.org/entity/Q82463148,literal,Peganum nigellastrum,literal,BLTDCIWCFCUQCB-UHFFFAOYSA-N,literal,C1=CC=C2C(=C1)C=C(C=N2)C(=O)N,literal,6480-67-7,literal,774547-1,en,literal,Quinoline-3-carboxamide,literal,10.3987/COM-99-8595,,
1,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q27264469,literal,Nitraria komarovii,literal,YIICVSCAKJMMDJ-JTQLQIEISA-N,literal,C1CN2CC3=CC=CC=C3N=C2C1O,literal,6159-55-3,literal,77177814-1,en,literal,(-)-peganine,literal,10.1007/BF00631009,literal,CHEMBL2163791
2,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q82568458,literal,Nitraria komarovii,literal,BGJQSTOJEPGFPD-UHFFFAOYSA-N,literal,C1CN=C(C2=C1C3=CC=CC=C3N2)C4=CC=CC5=C4N=CC=C5,literal,76971-22-7,literal,77177814-1,en,literal,"1-(Quinolin-8-yl)-4,9-dihydro-3H-beta-carboline",literal,10.1007/BF00634734,,
3,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q82568458,literal,Nitraria komarovii,literal,BGJQSTOJEPGFPD-UHFFFAOYSA-N,literal,C1CN=C(C2=C1C3=CC=CC=C3N2)C4=CC=CC5=C4N=CC=C5,literal,76971-22-7,literal,77177814-1,en,literal,"1-(Quinolin-8-yl)-4,9-dihydro-3H-beta-carboline",literal,10.1007/BF00631008,,
4,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q82568458,literal,Nitraria komarovii,literal,BGJQSTOJEPGFPD-UHFFFAOYSA-N,literal,C1CN=C(C2=C1C3=CC=CC=C3N2)C4=CC=CC5=C4N=CC=C5,literal,76971-22-7,literal,77177814-1,en,literal,"1-(Quinolin-8-yl)-4,9-dihydro-3H-beta-carboline",literal,10.1007/BF00605200,,
5,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q409439,literal,Nitraria komarovii,literal,APJYDQYYACXCRM-UHFFFAOYSA-N,literal,C1=CC=C2C(=C1)C(=CN2)CCN,literal,61-54-1,literal,77177814-1,en,literal,tryptamine,literal,10.1007/BF00631009,literal,CHEMBL6640
6,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q82885904,literal,Nitraria komarovii,literal,XCVKCPXFKRDYKB-UHFFFAOYSA-N,literal,C1=CC=C2C=NC(=CC2=C1)C3=NC=CC4=C3NC5=CC=CC=C45,literal,95360-17-1,literal,77177814-1,en,literal,"1-(Isoquinolin-3-yl)-9H-pyrido[3,4-b]indole",literal,10.1007/BF00631008,,
7,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q82885904,literal,Nitraria komarovii,literal,XCVKCPXFKRDYKB-UHFFFAOYSA-N,literal,C1=CC=C2C=NC(=CC2=C1)C3=NC=CC4=C3NC5=CC=CC=C45,literal,95360-17-1,literal,77177814-1,en,literal,"1-(Isoquinolin-3-yl)-9H-pyrido[3,4-b]indole",literal,10.1007/BF00605200,,
8,uri,http://www.wikidata.org/entity/Q18077545,uri,http://www.wikidata.org/entity/Q82127958,literal,Nitraria komarovii,literal,OTFRJPUPCOSKKS-UHFFFAOYSA-N,literal,C1CCC2(CC1)C3=C(CCN2)C4=CC=CC=C4N3,literal,6716-66-1,literal,77177814-1,en,literal,"Spiro[cyclohexane-1,1'-[1H]pyrido[3,4-b]indole], 2',3',4',9'-tetrahydro-",literal,10.1007/BF01167576,,
9,uri,http://www.wikidata.org/entity/Q18075477,uri,http://www.wikidata.org/entity/Q82904592,literal,Nitraria schoberi,literal,RBYMMMUWJMTPBK-UHFFFAOYSA-N,literal,NCCCCC1NCCC=2C=3C=CC=CC3NC21,literal,136945-81-8,literal,873341-1,en,literal,"4-(2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-1-yl)butan-1-amine",literal,10.1021/NP50076A006,,
