,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.type,structureLabel,refDOI.type,refDOI,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q17794769,uri,http://www.wikidata.org/entity/Q104252257,literal,Berberis trifoliolata,literal,DQVGVYRSVYCJRR-AXRVZGOCSA-N,literal,O=C(OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)CCC1C=2N=C(C=C3NC(=CC=4NC(C=C5N=C6C(C(=O)C(C(=O)OC)C62)=C5C)=C(C4C)CC)C(C=C)=C3C)C1C,literal,107152-1,literal,Q104252257,literal,10.1016/S0305-1978(01)00025-4,,,,,
1,uri,http://www.wikidata.org/entity/Q17812897,uri,http://www.wikidata.org/entity/Q422305,literal,Berberis duclouxiana,literal,KJXSIXMJHKAJOD-LSDHHAIUSA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC(O)=C(O)C(O)=C3)C1O,literal,1000094-1,literal,ampelopsin,literal,10.1055/S-2007-969756,en,literal,27200-12-0,,
2,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q6634283,literal,Berberis repens,literal,QUCQEUCGKKTEBI-UHFFFAOYSA-N,literal,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,literal,31531-2,literal,palmatine,literal,10.1021/NP50018A011,en,literal,3486-67-7,literal,CHEMBL206106
3,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q15410229,literal,Berberis buxifolia,literal,HYBRYAPKQCZIAE-UHFFFAOYSA-N,literal,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3,literal,30074956-2,literal,allocryptopine,literal,10.1007/978-1-4614-0560-3_5,en,literal,24240-04-8,literal,CHEMBL520043
4,uri,http://www.wikidata.org/entity/Q17792720,uri,http://www.wikidata.org/entity/Q105313758,literal,Berberis napaulensis,literal,WVTKBKWTSCPRNU-XZWHSSHBSA-N,literal,O1C2=CC=C(C=C2)CC3C4=CC(OC=5C(OC)=C(OC)C=C6C5C(N(C)CC6)CC7=CC=C(OC)C1=C7)=C(OC)C=C4CCN3C,literal,1000124-1,literal,"(1S,14R)-9,20,21,25-tetramethoxy-15,30-dimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2³,⁶.1⁸,¹².1¹⁴,¹⁸.0²⁷,³¹.0²²,³³]hexatriaconta-3,5,8(34),9,11,18(33),19,21,24,26,31,35-dodecaene",literal,10.1055/S-2007-969756,en,literal,477-57-6,,
5,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q82926961,literal,Berberis repens,literal,FBCXFKWMGIWMJQ-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC=5C=C6C(=CC5OC)CCN(C)C6CC7=CC=C(OC)C1=C7)C(OC)=C(OC)C=C4CCN3C,literal,31531-2,literal,"6,6',7,12'-Tetramethoxy-2,2'-dimethyloxyacanthan",literal,10.1007/BF00630564,en,literal,26252-04-0,,
6,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q82926961,literal,Berberis repens,literal,FBCXFKWMGIWMJQ-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC=5C=C6C(=CC5OC)CCN(C)C6CC7=CC=C(OC)C1=C7)C(OC)=C(OC)C=C4CCN3C,literal,31531-2,literal,"6,6',7,12'-Tetramethoxy-2,2'-dimethyloxyacanthan",literal,10.1016/S0031-9422(98)00121-6,en,literal,26252-04-0,,
7,uri,http://www.wikidata.org/entity/Q17792720,uri,http://www.wikidata.org/entity/Q104250810,literal,Berberis napaulensis,literal,WVTKBKWTSCPRNU-IHLOFXLRSA-N,literal,O1C2=CC=C(C=C2)CC3C4=CC(OC=5C(OC)=C(OC)C=C6C5C(N(C)CC6)CC7=CC=C(OC)C1=C7)=C(OC)C=C4CCN3C,literal,1000124-1,literal,1-Isotetrandrine,literal,10.1055/S-2007-969756,en,,,,
8,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q27259321,literal,Berberis buxifolia,literal,ZHYQCBCBTQWPLC-UHFFFAOYSA-N,literal,COC1=C(C2=C(C=C1)C=C3C4=CC5=C(C=C4CCN3C2=O)OCO5)OC,literal,30074956-2,literal,8-oxyberberine,literal,10.1007/978-1-4614-0560-3_5,en,literal,549-21-3,literal,CHEMBL11531
9,uri,http://www.wikidata.org/entity/Q17812897,uri,http://www.wikidata.org/entity/Q176525,literal,Berberis duclouxiana,literal,YBHILYKTIRIUTE-UHFFFAOYSA-N,literal,O1c2c(OC1)cc5c(c2)c4cc3ccc(OC)c(OC)c3c[n+]4CC5,literal,1000094-1,literal,berberine,literal,10.1055/S-2007-969756,en,literal,2086-83-1,literal,CHEMBL12089
10,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q104397875,literal,Berberis buxifolia,literal,DBPGJIUVRZHFCM-YWZLYKJASA-N,literal,O=C1C=C2C3N(C)CCC2(C=C1OC)C4=CC(OC)=C(OC)C=C4C3,literal,30074956-2,literal,"(1S,9S)-4,5,13-trimethoxy-17-methyl-17-azatetracyclo[7.5.3.0¹,¹⁰.0²,⁷]heptadeca-2,4,6,10,13-pentaen-12-one",literal,10.1007/978-1-4614-0560-3_5,en,,,,
11,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q105027866,literal,Berberis repens,literal,HGNHIFJNOKGSKI-UHFFFAOYSA-N,literal,OC1=CC=C2C=C1OC3=CC=C(C=C3)CC4C5=C(OC=6C=C7C(=CC6OC)CCN(C)C7C2)C(OC)=C(OC)C=C5CCN4C,literal,31531-2,literal,Oxycanthine,literal,10.1007/BF02234886,en,,,,
12,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q105027866,literal,Berberis repens,literal,HGNHIFJNOKGSKI-UHFFFAOYSA-N,literal,OC1=CC=C2C=C1OC3=CC=C(C=C3)CC4C5=C(OC=6C=C7C(=CC6OC)CCN(C)C7C2)C(OC)=C(OC)C=C5CCN4C,literal,31531-2,literal,Oxycanthine,literal,10.1007/BF00630564,en,,,,
13,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q105027866,literal,Berberis repens,literal,HGNHIFJNOKGSKI-UHFFFAOYSA-N,literal,OC1=CC=C2C=C1OC3=CC=C(C=C3)CC4C5=C(OC=6C=C7C(=CC6OC)CCN(C)C7C2)C(OC)=C(OC)C=C5CCN4C,literal,31531-2,literal,Oxycanthine,literal,10.1007/BF01373805,en,,,,
14,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q105027866,literal,Berberis repens,literal,HGNHIFJNOKGSKI-UHFFFAOYSA-N,literal,OC1=CC=C2C=C1OC3=CC=C(C=C3)CC4C5=C(OC=6C=C7C(=CC6OC)CCN(C)C7C2)C(OC)=C(OC)C=C5CCN4C,literal,31531-2,literal,Oxycanthine,literal,10.1023/B:CONC.0000003429.41497.B6,en,,,,
15,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q15410229,literal,Berberis buxifolia,literal,HYBRYAPKQCZIAE-UHFFFAOYSA-N,literal,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3,literal,30074956-2,literal,allocryptopine,literal,10.1007/978-1-4614-0560-3_5,en,literal,485-91-6,literal,CHEMBL520043
16,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q390706,literal,Berberis buxifolia,literal,GPTFURBXHJWNHR-UHFFFAOYSA-N,literal,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3,literal,30074956-2,literal,protopine,literal,10.1007/978-1-4614-0560-3_5,en,literal,130-86-9,literal,CHEMBL453019
17,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q104247830,literal,Berberis repens,literal,MXTLAHSTUOXGQF-UHFFFAOYSA-N,literal,O=C1C=C2C(C=C1OC)=C3C=C4C=CC(OC)=C(OC)C4=CN3CC2,literal,31531-2,literal,"2,9,10-Trimethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-3-one",literal,10.1021/NP50018A011,en,,,,
18,uri,http://www.wikidata.org/entity/Q17812897,uri,http://www.wikidata.org/entity/Q105313758,literal,Berberis duclouxiana,literal,WVTKBKWTSCPRNU-XZWHSSHBSA-N,literal,O1C2=CC=C(C=C2)CC3C4=CC(OC=5C(OC)=C(OC)C=C6C5C(N(C)CC6)CC7=CC=C(OC)C1=C7)=C(OC)C=C4CCN3C,literal,1000094-1,literal,"(1S,14R)-9,20,21,25-tetramethoxy-15,30-dimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2³,⁶.1⁸,¹².1¹⁴,¹⁸.0²⁷,³¹.0²²,³³]hexatriaconta-3,5,8(34),9,11,18(33),19,21,24,26,31,35-dodecaene",literal,10.1055/S-2007-969756,en,literal,477-57-6,,
19,uri,http://www.wikidata.org/entity/Q17792701,uri,http://www.wikidata.org/entity/Q104402141,literal,Berberis repens,literal,IIQSJHUEZBTSAT-URLMMPGGSA-N,literal,OC1=C(OC)C=C2C3=C1OC=4C=C5C(=CC4OC)CCN(C)C5CC6=CC=C(OC7=CC(=CC=C7OC)CC3N(C)CC2)C=C6,literal,31531-2,literal,Thalrugosine,literal,10.1021/NP50018A011,en,,,,
20,uri,http://www.wikidata.org/entity/Q17794769,uri,http://www.wikidata.org/entity/Q176525,literal,Berberis trifoliolata,literal,YBHILYKTIRIUTE-UHFFFAOYSA-N,literal,O1c2c(OC1)cc5c(c2)c4cc3ccc(OC)c(OC)c3c[n+]4CC5,literal,107152-1,literal,berberine,literal,10.2307/4117899,en,literal,2086-83-1,literal,CHEMBL12089
21,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q27105226,literal,Berberis buxifolia,literal,QEOWCPFWLCIQSL-IRXDYDNUSA-N,literal,CN1C2CC3=CC(=C(C=C3C1CC4=CC(=C(C=C24)OC)OC)OC)OC,literal,30074956-2,literal,(-)-argemonine,literal,10.5772/INTECHOPEN.75133,en,literal,6901-16-2,,
22,uri,http://www.wikidata.org/entity/Q22111300,uri,http://www.wikidata.org/entity/Q27105226,literal,Berberis buxifolia,literal,QEOWCPFWLCIQSL-IRXDYDNUSA-N,literal,CN1C2CC3=CC(=C(C=C3C1CC4=CC(=C(C=C24)OC)OC)OC)OC,literal,30074956-2,literal,(-)-argemonine,literal,10.1007/978-1-4614-0560-3_5,en,literal,6901-16-2,,
