,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q409608,literal,Acorus calamus,literal,VKOBVWXKNCXXDE-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCC(=O)O,literal,506-30-9,literal,84009-1,en,literal,arachidic acid,literal,CHEMBL1173381,literal,10.1002/LIPI.19840860106
1,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q409608,literal,Acorus calamus,literal,VKOBVWXKNCXXDE-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCC(=O)O,literal,506-30-9,literal,84009-1,en,literal,arachidic acid,literal,CHEMBL1173381,literal,10.1055/S-0030-1249833
2,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27273336,literal,Acorus calamus,literal,JOZKFWLRHCDGJA-LLVKDONJSA-N,literal,CC(CCC=C(C)C)CCOC(=O)C,literal,20425-54-1,literal,84009-1,en,literal,(R)-citronellol acetate,,,literal,10.1080/10412905.2003.9698598
3,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27163939,literal,Acorus calamus,literal,OYHQOLUKZRVURQ-UHFFFAOYSA-N,literal,CCCCCC=CCC=CCCCCCCCC(=O)O,literal,2197-37-7,literal,84009-1,en,literal,"octadeca-9,12-dienoic acid",,,literal,10.1016/J.PHYTOCHEM.2005.01.007
4,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q415945,literal,Acorus calamus,literal,BOTWFXYSPFMFNR-PYDDKJGSSA-N,literal,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,literal,150-86-7,literal,84009-1,en,literal,phytol,literal,CHEMBL3039479,literal,10.1080/10412905.2003.9698598
5,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27285202,literal,Acorus calamus,literal,OYHQOLUKZRVURQ-IXWMQOLASA-N,literal,CCCCCC=CCC=CCCCCCCCC(=O)O,literal,2420-42-0,literal,84009-1,en,literal,"(9E,12Z)-linoleic acid",,,literal,10.1016/J.PHYTOCHEM.2005.01.007
6,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q407426,literal,Acorus calamus,literal,OYHQOLUKZRVURQ-HZJYTTRNSA-N,literal,CCCCCC=CCC=CCCCCCCCC(=O)O,literal,60-33-3,literal,84009-1,en,literal,linoleic acid,literal,CHEMBL267476,literal,10.1002/LIPI.19840860106
7,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27293870,literal,Acorus calamus,literal,RMMPZDDLWLALLJ-UHFFFAOYSA-N,literal,COC1=CC(=O)C(=CC1=O)OC,literal,3117-03-1,literal,84009-1,en,literal,"2,5-dimethoxy-4-benzoquinone",literal,CHEMBL465063,literal,10.1055/S-0030-1249833
8,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27270411,literal,Acorus calamus,literal,DTGKSKDOIYIVQL-OYNCUSHFSA-N,literal,CC1(C2CCC1(C(C2)O)C)C,literal,16725-71-6,literal,84009-1,en,literal,(+)-isoborneol,,,literal,10.1080/10412905.2003.9698598
9,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27292014,literal,Acorus calamus,literal,RESNWHKKMVJDFA-SCGYNDOXSA-N,literal,CC1=CCCC(=CC(=O)C(CC1)C(C)C)C,literal,50281-45-3,literal,84009-1,en,literal,acoragermacrone,,,literal,10.1021/NP200181D
10,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q413504,literal,Acorus calamus,literal,BDJRBEYXGGNYIS-UHFFFAOYSA-N,literal,C(CCCC(=O)O)CCCC(=O)O,literal,123-99-9,literal,84009-1,en,literal,azelaic acid,literal,CHEMBL1238,literal,10.1055/S-0030-1249833
11,uri,http://www.wikidata.org/entity/Q158008,uri,http://www.wikidata.org/entity/Q27888324,literal,Acorus calamus,literal,XMGQYMWWDOXHJM-JTQLQIEISA-N,literal,CC1=CCC(CC1)C(=C)C,literal,5989-27-5,literal,84009-1,en,literal,(+)-limonene,literal,CHEMBL449062,literal,10.1080/10412905.2003.9698598
