,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q15544671,uri,http://www.wikidata.org/entity/Q27138801,literal,Dysoxylum malabaricum,literal,XSQYWMLMQVUWSF-FXFLHSNUSA-N,literal,CC1(C2CCC3(C(C2(CCC1=O)C)CCC4C3(CCC4C5(CCC(O5)C(C)(C)O)C)C)C)C,literal,578224-1,en,literal,cabraleone,literal,10.1002/(SICI)1097-458X(199602)34:2<146::AID-OMR850>3.0.CO;2-U,literal,CHEMBL224481,,
1,uri,http://www.wikidata.org/entity/Q15545561,uri,http://www.wikidata.org/entity/Q83116565,literal,Dysoxylum lenticellare,literal,DVDWVXDGQWHIPJ-UHFFFAOYSA-N,literal,O(C=1C=C2C=3C=C4OCOC4=CC3CCCN(C)CCC2=CC1OC)C,literal,578199-1,en,literal,Dysazecine,literal,10.1021/NP50025A014,,,literal,85547-18-8
2,uri,http://www.wikidata.org/entity/Q15545561,uri,http://www.wikidata.org/entity/Q83116565,literal,Dysoxylum lenticellare,literal,DVDWVXDGQWHIPJ-UHFFFAOYSA-N,literal,O(C=1C=C2C=3C=C4OCOC4=CC3CCCN(C)CCC2=CC1OC)C,literal,578199-1,en,literal,Dysazecine,literal,10.1021/NP50054A004,,,literal,85547-18-8
3,uri,http://www.wikidata.org/entity/Q15545561,uri,http://www.wikidata.org/entity/Q83116565,literal,Dysoxylum lenticellare,literal,DVDWVXDGQWHIPJ-UHFFFAOYSA-N,literal,O(C=1C=C2C=3C=C4OCOC4=CC3CCCN(C)CCC2=CC1OC)C,literal,578199-1,en,literal,Dysazecine,literal,10.1002/PTR.2650020211,,,literal,85547-18-8
4,uri,http://www.wikidata.org/entity/Q15545561,uri,http://www.wikidata.org/entity/Q27115157,literal,Dysoxylum lenticellare,literal,CPGCVOVWHCWVTP-GDLZYMKVSA-N,literal,CCCCCCCCCCCCCCCCCCCC(CCCCCCCCC)O,literal,578199-1,en,literal,(R)-10-nonacosanol,literal,10.1039/C39850000121,,,literal,261613-72-3
5,uri,http://www.wikidata.org/entity/Q15545478,uri,http://www.wikidata.org/entity/Q27138607,literal,Dysoxylum cauliflorum,literal,NOLGXQBEFHYZHI-QPBHWVAKSA-N,literal,CC1(C2CCC3(C(C2(CCC1=O)C)CCC4C3(CCC4C5(CCC(=O)O5)C)C)C)C,literal,578091-1,en,literal,cabralealactone,literal,10.1016/S0040-4039(98)02657-4,literal,CHEMBL225315,literal,19865-87-3
6,uri,http://www.wikidata.org/entity/Q15544671,uri,http://www.wikidata.org/entity/Q409366,literal,Dysoxylum malabaricum,literal,MQYXUWHLBZFQQO-QGTGJCAVSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,literal,578224-1,en,literal,lupeol,literal,10.1016/S0031-9422(00)00413-1,literal,CHEMBL289191,literal,545-47-1
7,uri,http://www.wikidata.org/entity/Q15544671,uri,http://www.wikidata.org/entity/Q409366,literal,Dysoxylum malabaricum,literal,MQYXUWHLBZFQQO-QGTGJCAVSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,literal,578224-1,en,literal,lupeol,literal,10.1016/S0031-9422(00)89542-4,literal,CHEMBL289191,literal,545-47-1
8,uri,http://www.wikidata.org/entity/Q15545561,uri,http://www.wikidata.org/entity/Q7190613,literal,Dysoxylum lenticellare,literal,TXFPEBPIARQUIG-UHFFFAOYSA-N,literal,CC(=O)C1=CC=C(C=C1)O,literal,578199-1,en,literal,4-hydroxy acetophenone,literal,10.1021/NP50054A004,literal,CHEMBL201083,literal,99-93-4
9,uri,http://www.wikidata.org/entity/Q15545561,uri,http://www.wikidata.org/entity/Q7190613,literal,Dysoxylum lenticellare,literal,TXFPEBPIARQUIG-UHFFFAOYSA-N,literal,CC(=O)C1=CC=C(C=C1)O,literal,578199-1,en,literal,4-hydroxy acetophenone,literal,10.1002/PTR.2650020211,literal,CHEMBL201083,literal,99-93-4
