,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.type,structureLabel,refDOI.type,refDOI,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15251113,uri,http://www.wikidata.org/entity/Q105193881,literal,Limonium sinense,literal,OLBCNYLXXLYHAI-UOVMKRMJSA-N,literal,O=C1OC2CC3=C(O)C=C(O)C(=C3OC2C4=CC(O)=C(O)C(O)=C4)C5C=6C(O)=CC(O)=CC6OC(C7=CC(O)=C(O)C(O)=C7OC8=CC1=CC(O)=C8O)C5OC(=O)C9=CC(O)=C(O)C(O)=C9,literal,686978-1,literal,Q105193881,literal,10.1128/AAC.46.9.2854-2864.2002,,,,,
1,uri,http://www.wikidata.org/entity/Q15251113,uri,http://www.wikidata.org/entity/Q105193881,literal,Limonium sinense,literal,OLBCNYLXXLYHAI-UOVMKRMJSA-N,literal,O=C1OC2CC3=C(O)C=C(O)C(=C3OC2C4=CC(O)=C(O)C(O)=C4)C5C=6C(O)=CC(O)=CC6OC(C7=CC(O)=C(O)C(O)=C7OC8=CC1=CC(O)=C8O)C5OC(=O)C9=CC(O)=C(O)C(O)=C9,literal,686978-1,literal,Q105193881,literal,10.1055/S-2000-8540,,,,,
2,uri,http://www.wikidata.org/entity/Q156141,uri,http://www.wikidata.org/entity/Q2550553,literal,Plumbaginaceae,literal,VCMMXZQDRFWYSE-UHFFFAOYSA-N,literal,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,literal,30000293-2,literal,plumbagin,literal,10.1016/J.FCT.2013.11.027,en,literal,481-42-5,literal,CHEMBL295316
3,uri,http://www.wikidata.org/entity/Q17241338,uri,http://www.wikidata.org/entity/Q121802,literal,Limonium axillare,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,686655-1,literal,beta-sitosterol,literal,10.1002/1521-4184(20008)333:8<275::AID-ARDP275>3.0.CO;2-4,en,literal,83-46-5,,
4,uri,http://www.wikidata.org/entity/Q17241338,uri,http://www.wikidata.org/entity/Q121802,literal,Limonium axillare,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,686655-1,literal,beta-sitosterol,literal,10.3109/13880209409083017,en,literal,83-46-5,,
5,uri,http://www.wikidata.org/entity/Q10960467,uri,http://www.wikidata.org/entity/Q105170673,literal,Ceratostigma minus,literal,MRLGZVFLBTWJSX-ZQOQDGPXSA-N,literal,OC1=CC=CC=2C(O)=C(C=C(OC3OC(CO)C(O)C(O)C3O)C12)C,literal,686553-1,literal,Plumbaside A,literal,10.1016/S0031-9422(00)90660-5,en,,,,
6,uri,http://www.wikidata.org/entity/Q15251113,uri,http://www.wikidata.org/entity/Q105161632,literal,Limonium sinense,literal,MDEFRVBQLGCTRF-XGBTXLNFSA-N,literal,O=C(OC1C(O)C(O)C(OC1OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=C(O)C(O)=C(O)C4)C)C5=CC=C(O)C=C5,literal,686978-1,literal,"3-[2-O-(4-Hydroxybenzoyl)-alpha-L-rhamnopyranosyloxy]-3',4',5,5',7-pentahydroxyflavone",literal,10.1055/S-2000-8547,en,,,,
7,uri,http://www.wikidata.org/entity/Q724593,uri,http://www.wikidata.org/entity/Q105155135,literal,Limonium gmelini,literal,LPEPTRFUOKMJCH-YDOQJWOYSA-N,literal,O=C1C(O)=C(OC2=CC(OC3OC(C)C(O)C(O)C3O)=CC(O)=C12)C=4C=C(O)C(O)=C(O)C4,literal,686792-1,literal,"7-[(6-Deoxy-alpha-L-mannopyranosyl)oxy]-3,5-dihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-1-benzopyran-4-one",literal,10.1007/S10600-005-0012-3,en,literal,184533-14-0,,
8,uri,http://www.wikidata.org/entity/Q17241338,uri,http://www.wikidata.org/entity/Q15425833,literal,Limonium axillare,literal,FBSFWRHWHYMIOG-UHFFFAOYSA-N,literal,COC(=O)C1=CC(=C(C(=C1)O)O)O,literal,686655-1,literal,methyl gallate,literal,10.1002/1521-4184(20008)333:8<275::AID-ARDP275>3.0.CO;2-4,en,literal,99-24-1,literal,CHEMBL65675
9,uri,http://www.wikidata.org/entity/Q15251113,uri,http://www.wikidata.org/entity/Q104998836,literal,Limonium sinense,literal,FOMYLMGOSTVYEE-LEENXRGASA-N,literal,O=C(OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=C(O)C(O)=C(O)C4)C(O)C(O)C1O)C5=CC(O)=C(O)C(O)=C5,literal,686978-1,literal,Myricetin 3-O-beta-D-galactoside 6''-O-gallate,literal,10.1055/S-2000-8547,en,,,,
