,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135921,literal,Kadsura coccinea,literal,YVMJUSKDPJGDHW-HNYWDRBLSA-N,literal,CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1C)O)OCO4)OC)OC)OC)OC,literal,554572-1,en,literal,Isogomisin O,literal,CHEMBL506792,literal,10.1021/NP1009288,,
1,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q83112677,literal,Kadsura coccinea,literal,RTZKSTLPRTWFEV-OLZOCXBDSA-N,literal,O(C1=CC2=C(C(OC)=C1OC)C3=C(OC)C=4OCOC4C=C3CC(C)C(C)C2)C,literal,554572-1,en,literal,(+)-schisandrin B,,,literal,10.1055/S-2007-969495,literal,82467-52-5
2,uri,http://www.wikidata.org/entity/Q10932548,uri,http://www.wikidata.org/entity/Q27135923,literal,Kadsura polysperma,literal,HIGLJZHMTBHEQS-HWZXAUMYSA-N,literal,CC=C(C)C(=O)OC1C(C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C14)OC)OC)OC)OC)OCO3)OC(=O)C)C)C,literal,554592-1,en,literal,interiotherin C,literal,CHEMBL488100,literal,10.1021/NP200937H,literal,460090-65-7
3,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135922,literal,Kadsura coccinea,literal,YREZDJJVCCDBTG-INQFUDPWSA-N,literal,CC=C(C)C(=O)OC1C(C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C14)OC)OC)OC)OC)OCO3)O)C)C,literal,554572-1,en,literal,Ananosin A,literal,CHEMBL1782123,literal,10.1016/S0031-9422(01)00319-3,,
4,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135922,literal,Kadsura coccinea,literal,YREZDJJVCCDBTG-INQFUDPWSA-N,literal,CC=C(C)C(=O)OC1C(C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C14)OC)OC)OC)OC)OCO3)O)C)C,literal,554572-1,en,literal,Ananosin A,literal,CHEMBL1782123,literal,10.1021/NP1009288,,
5,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q72486803,literal,Kadsura coccinea,literal,JGNPDWQZTUZFHK-LYNKRMMFSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C)C3C(=CCC12C)C(C)(CCC(=O)O)C(C(=C)C)CC3)C,literal,554572-1,en,literal,Kadsuric acid,,,literal,10.1055/S-2007-969264,literal,62393-88-8
6,uri,http://www.wikidata.org/entity/Q10932548,uri,http://www.wikidata.org/entity/Q27135924,literal,Kadsura polysperma,literal,YVMJUSKDPJGDHW-SYTFOFBDSA-N,literal,CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1C)O)OCO4)OC)OC)OC)OC,literal,554592-1,en,literal,Yunnankadsurin B,literal,CHEMBL1782124,literal,10.1021/NP200937H,,
7,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27138804,literal,Kadsura coccinea,literal,KUSXBOZNRPQEON-GWKPYITFSA-N,literal,COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)C=CCO,literal,554572-1,en,literal,(-)-dehydrodiconiferyl alcohol,literal,CHEMBL1761712,literal,10.1080/10286020.2011.637922,literal,155836-29-6
8,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135923,literal,Kadsura coccinea,literal,HIGLJZHMTBHEQS-HWZXAUMYSA-N,literal,CC=C(C)C(=O)OC1C(C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C14)OC)OC)OC)OC)OCO3)OC(=O)C)C)C,literal,554572-1,en,literal,interiotherin C,literal,CHEMBL488100,literal,10.1021/NP1009288,literal,460090-65-7
9,uri,http://www.wikidata.org/entity/Q10932548,uri,http://www.wikidata.org/entity/Q27135921,literal,Kadsura polysperma,literal,YVMJUSKDPJGDHW-HNYWDRBLSA-N,literal,CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1C)O)OCO4)OC)OC)OC)OC,literal,554592-1,en,literal,Isogomisin O,literal,CHEMBL506792,literal,10.1021/NP200937H,,
