,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q50347003,uri,http://www.wikidata.org/entity/Q105174869,literal,Sceptridium multifidum,literal,MYFQBSFOYRALBJ-VADOKVSRSA-N,literal,OC1=CC=CC(=C1O)CCC=2C=CC=3OC(C=CC3C2)(C)CCC=C(C)CO,literal,228875-2,en,literal,"3-[2-[(2S)-2-[(3E)-5-Hydroxy-4-methyl-3-pentenyl]-2-methyl-2H-1-benzopyran-6-yl]ethyl]-1,2-benzenediol",literal,10.1248/CPB.34.3727,,,,
1,uri,http://www.wikidata.org/entity/Q15248500,uri,http://www.wikidata.org/entity/Q105202673,literal,Ophioglossum petiolatum,literal,OXGUCUVFOIWWQJ-LDWSSRBJSA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,literal,17167890-1,en,literal,"3-(6-Deoxy-alpha-L-glucopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one",literal,10.1021/NP0401819,,,,
2,uri,http://www.wikidata.org/entity/Q17120400,uri,http://www.wikidata.org/entity/Q23804606,literal,Ophioglossum costatum,literal,LKXBGSZMRNJAST-UKWZQOBBSA-N,literal,COC1=C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC(=C(C=C4)O)O,literal,17167400-1,en,literal,3-O-methylquercetin-7-O-beta-D-glucopyranoside,literal,10.1021/NP100745Z,literal,CHEMBL260805,,
3,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q105111718,literal,Helminthostachys zeylanica,literal,IEDRNKKFHHTLRT-OFVILXPXSA-N,literal,O=C1C=C(OC2=CC(O)=C(C(O)=C12)CC3C(O)(C)CCCC3(C)C)C=4C=CC(O)=C(O)C4,literal,17116690-1,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[[(1S,2S)-2-hydroxy-2,6,6-trimethylcyclohexyl]methyl]chromen-4-one",literal,10.1021/NP900148A,,,,
4,uri,http://www.wikidata.org/entity/Q17262014,uri,http://www.wikidata.org/entity/Q105174869,literal,Sceptridium rugulosum,literal,MYFQBSFOYRALBJ-VADOKVSRSA-N,literal,OC1=CC=CC(=C1O)CCC=2C=CC=3OC(C=CC3C2)(C)CCC=C(C)CO,literal,17567840-1,en,literal,"3-[2-[(2S)-2-[(3E)-5-Hydroxy-4-methyl-3-pentenyl]-2-methyl-2H-1-benzopyran-6-yl]ethyl]-1,2-benzenediol",literal,10.1248/CPB.34.3727,,,,
5,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q104920043,literal,Helminthostachys zeylanica,literal,AWGPELCDBUFEAW-PXDATVDWSA-N,literal,O=C1C=C(OC2=CC(O)=C3C(OC4(C)CCCC(C)(C)C4C3)=C12)C=5C=CC(O)=C(O)C5,literal,17116690-1,en,literal,"(7aR,11aR)-3-(3,4-dihydroxyphenyl)-6-hydroxy-8,8,11a-trimethyl-7a,9,10,11-tetrahydro-7H-pyrano[2,3-c]xanthen-1-one",literal,10.1021/NP900148A,,,,
6,uri,http://www.wikidata.org/entity/Q11037950,uri,http://www.wikidata.org/entity/Q27136409,literal,Ophioglossum pedunculosum,literal,XTPXAOSAGWJNDB-VQIXPAPJSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)CO)O)OC4C(C(C(C(O4)CO)O)O)O,literal,17167850-1,en,literal,ophioglonol 4'-O-beta-D-glucopyranoside,literal,10.1021/NP100745Z,literal,CHEMBL1773609,literal,850754-69-7
7,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q105154819,literal,Helminthostachys zeylanica,literal,LONDNVXJGNYQEO-CQSZACIVSA-N,literal,O=C1C=2OC3=CC(O)=C(O)C(=C3C2OC=4C=C(O)C=C(O)C14)CC5C(=CCCC5(C)C)C,literal,17116690-1,en,literal,"4,6,13,14-tetrahydroxy-12-{[(1S)-2,6,6-trimethylcyclohex-2-en-1-yl]methyl}-9,17-dioxatetracyclo[8.7.0.0³,⁸.0¹¹,¹⁶]heptadeca-1(10),3,5,7,11(16),12,14-heptaen-2-one",literal,10.1021/NP900148A,,,,
8,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q105242078,literal,Helminthostachys zeylanica,literal,ROCKAKPPZWGROR-KRWDZBQOSA-N,literal,O=C1C=C(OC=2C=C(OC)C(=C(O)C12)CC3C(=C)CCCC3(C)C)C=4C=CC(O)=C(O)C4,literal,17116690-1,en,literal,ugonin k,literal,10.1021/NP900148A,,,,
9,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q105242078,literal,Helminthostachys zeylanica,literal,ROCKAKPPZWGROR-KRWDZBQOSA-N,literal,O=C1C=C(OC=2C=C(OC)C(=C(O)C12)CC3C(=C)CCCC3(C)C)C=4C=CC(O)=C(O)C4,literal,17116690-1,en,literal,ugonin k,literal,10.1016/J.PHYTOCHEM.2003.09.009,,,,
10,uri,http://www.wikidata.org/entity/Q17120400,uri,http://www.wikidata.org/entity/Q27136409,literal,Ophioglossum costatum,literal,XTPXAOSAGWJNDB-VQIXPAPJSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)CO)O)OC4C(C(C(C(O4)CO)O)O)O,literal,17167400-1,en,literal,ophioglonol 4'-O-beta-D-glucopyranoside,literal,10.1021/NP100745Z,literal,CHEMBL1773609,literal,850754-69-7
11,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q105033677,literal,Helminthostachys zeylanica,literal,HTXVMYSFROUDJB-MRXNPFEDSA-N,literal,O=C1C=C(OC2=CC(O)=C(C(O)=C12)CC3C(=CCCC3(C)C)C)C=4C=CC(O)=C(O)C4,literal,17116690-1,en,literal,ugonin P,literal,10.1021/NP900148A,,,,
12,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q105134912,literal,Helminthostachys zeylanica,literal,JTPIWPQEKWCNEL-SECBINFHSA-N,literal,O=C1C(O)=C(OC=2C1=C(O)C=C3OC(C)C(C32)(C)C)C=4C=CC(O)=CC4,literal,17116690-1,en,literal,"(8R)-3,5-dihydroxy-2-(4-hydroxyphenyl)-8,9,9-trimethyl-8H-furo[2,3-h]chromen-4-one",literal,10.1016/J.PHYTOCHEM.2003.09.009,,,,
13,uri,http://www.wikidata.org/entity/Q11037950,uri,http://www.wikidata.org/entity/Q27136352,literal,Ophioglossum pedunculosum,literal,ZDGISMQFYIDRSP-KZGGGLRYSA-N,literal,CC(=CCC1=C(C(=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)CO)O)O)C,literal,17167850-1,en,literal,pedunculosumoside C,literal,10.1021/NP100745Z,literal,CHEMBL1773497,literal,1283600-05-4
14,uri,http://www.wikidata.org/entity/Q3235483,uri,http://www.wikidata.org/entity/Q104990361,literal,Helminthostachys zeylanica,literal,DVUORASKJFBCTF-GJZUVCINSA-N,literal,O=C1C=C(OC=2C=C(OC)C3=C(OC4(C)CCCC(C)(C)C4C3)C12)C=5C=CC(O)=C(O)C5,literal,17116690-1,en,literal,"(7aR,11aS)-3-(3,4-dihydroxyphenyl)-6-methoxy-8,8,11a-trimethyl-7a,9,10,11-tetrahydro-7H-pyrano[2,3-c]xanthen-1-one",literal,10.1016/J.PHYTOCHEM.2003.09.009,,,,
15,uri,http://www.wikidata.org/entity/Q17120400,uri,http://www.wikidata.org/entity/Q27136352,literal,Ophioglossum costatum,literal,ZDGISMQFYIDRSP-KZGGGLRYSA-N,literal,CC(=CCC1=C(C(=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)CO)O)O)C,literal,17167400-1,en,literal,pedunculosumoside C,literal,10.1021/NP100745Z,literal,CHEMBL1773497,literal,1283600-05-4
