,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q21314964,uri,http://www.wikidata.org/entity/Q27145396,literal,Mirabilis himalaica,literal,WECGLUPZRHILCT-KKFOGOCZSA-N,literal,CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O,literal,604662-1,en,literal,3-linoleoyl-sn-glycerol,literal,10.1016/S0031-9422(97)00114-3,literal,CHEMBL188186,,
1,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q23050245,literal,Mirabilis viscosa,literal,LZERJKGWTQYMBB-UHFFFAOYSA-N,literal,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O,literal,162666-2,en,literal,"apigenin 7,4'-dimethyl ether",literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL350958,literal,5128-44-9
2,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q104396340,literal,Mirabilis jalapa,literal,YVVDYYFGAWQOGB-UHFFFAOYSA-N,literal,O=C1C2=C(O)C(=C(O)C=C2OC3=C1C=4C=CC=CC4OC3O)C,literal,162591-2,en,literal,boeravinone B,literal,10.1007/S10600-010-9744-9,,,literal,114567-34-9
3,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q104667781,literal,Mirabilis jalapa,literal,RYODHCVOYCFESW-SFHVURJKSA-N,literal,O=C1C=2C(O)=C(C(O)=C(C2OC3=C1C=4C=CC=C(O)C4OC3O)C)C,literal,162591-2,en,literal,"(6S)-4,6,9,11-tetrahydroxy-8,10-dimethyl-6H-chromeno[3,4-b]chromen-12-one",literal,10.1002/1522-2675(200208)85:8<2342::AID-HLCA2342>3.0.CO;2-S,,,,
4,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q104666858,literal,Mirabilis jalapa,literal,ZVSXALWTWGTZSP-SCLBCKFNSA-N,literal,O=C1C2=C(O)C(=C(OC)C=C2OC3COC=4C(O)=CC=CC4C13O)C,literal,162591-2,en,literal,"(6aS,12aR)-4,11,12a-trihydroxy-9-methoxy-10-methyl-6,6a-dihydrochromeno[3,4-b]chromen-12-one",literal,10.1002/1522-2675(200208)85:8<2342::AID-HLCA2342>3.0.CO;2-S,,,,
5,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q27280983,literal,Mirabilis viscosa,literal,FMEHGPQTMOPUGM-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,literal,162666-2,en,literal,"3,3'-di-O-methylquercetin",literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL511363,literal,4382-17-6
6,uri,http://www.wikidata.org/entity/Q21314964,uri,http://www.wikidata.org/entity/Q416260,literal,Mirabilis himalaica,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,604662-1,en,literal,ursolic acid,literal,10.1016/S0031-9422(97)00114-3,literal,CHEMBL169,literal,77-52-1
7,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q104415346,literal,Mirabilis jalapa,literal,KZJWDPNRJALLNS-BSJPTTOTSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,literal,162591-2,en,literal,"(3S,8R,9R,10R,13R,14R,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,10.1135/CCCC19760295,,,,
8,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q425004,literal,Mirabilis jalapa,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,162591-2,en,literal,stigmasterol,literal,10.1086/331761,literal,CHEMBL400247,literal,83-48-7
9,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q7317388,literal,Mirabilis viscosa,literal,HHGPYJLEJGNWJA-UHFFFAOYSA-N,literal,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC)O)OC)OC,literal,162666-2,en,literal,retusin,literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL77966,literal,1245-15-4
10,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q27105473,literal,Mirabilis viscosa,literal,VJJZJBUCDWKPLC-UHFFFAOYSA-N,literal,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,literal,162666-2,en,literal,3-methoxyapigenin,literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL165064,literal,1592-70-7
11,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q82231318,literal,Mirabilis viscosa,literal,MSLBFGWANLXSOK-UHFFFAOYSA-N,literal,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)O,literal,162666-2,en,literal,Betuletol,literal,10.1016/S0305-1978(96)00081-6,,,literal,35214-88-1
12,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q411478,literal,Mirabilis jalapa,literal,RFHAOTPXVQNOHP-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,literal,162591-2,en,literal,fluconazole,literal,10.1021/NP0004092,literal,CHEMBL106,literal,86386-73-4
13,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q4545790,literal,Mirabilis jalapa,literal,IRHTZOCLLONTOC-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCCO,literal,162591-2,en,literal,ceryl alcohol,literal,10.1135/CCCC19760295,,,literal,506-52-5
14,uri,http://www.wikidata.org/entity/Q21314964,uri,http://www.wikidata.org/entity/Q121802,literal,Mirabilis himalaica,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,604662-1,en,literal,beta-sitosterol,literal,10.1016/S0031-9422(97)00114-3,,,literal,19044-06-5
15,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q10910637,literal,Mirabilis viscosa,literal,BJBUTJQYZDYRMJ-UHFFFAOYSA-N,literal,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC=C(C=C3)O)O,literal,162666-2,en,literal,kumatakenin,literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL349724,literal,3301-49-3
16,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q104666859,literal,Mirabilis jalapa,literal,IRFJPHPNKCAISA-UHFFFAOYSA-N,literal,O=C1OC=2C=C(O)C=CC2C=3C(=O)C4=C(O)C(=C(O)C=C4OC13)C,literal,162591-2,en,literal,boeravinone F,literal,10.1002/1522-2675(200208)85:8<2342::AID-HLCA2342>3.0.CO;2-S,,,,
17,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q104667165,literal,Mirabilis jalapa,literal,RYODHCVOYCFESW-UHFFFAOYSA-N,literal,O=C1C=2C(O)=C(C(O)=C(C2OC3=C1C=4C=CC=C(O)C4OC3O)C)C,literal,162591-2,en,literal,Mirabijalone B,literal,10.1007/S10600-010-9744-9,,,,
18,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q27262627,literal,Mirabilis jalapa,literal,VARQGBHBYZTYLJ-UHFFFAOYSA-N,literal,CCCCCCCCCCCC(=O)CCCCCCCCCCC,literal,162591-2,en,literal,lauron,literal,10.1135/CCCC19760295,,,literal,540-09-0
19,uri,http://www.wikidata.org/entity/Q2921547,uri,http://www.wikidata.org/entity/Q15269695,literal,Bougainvillea spectabilis,literal,JZVFJDZBLUFKCA-FXIAWGAOSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C)C(C)C,literal,604358-1,en,literal,α-spinasterin,literal,10.1055/S-2006-960028,literal,CHEMBL487783,literal,481-18-5
20,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q412223,literal,Mirabilis jalapa,literal,APKFDSVGJQXUKY-INPOYWNPSA-N,literal,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,literal,162591-2,en,literal,amphotericin B,literal,10.1021/NP0004092,literal,CHEMBL267345,literal,1397-89-3
21,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q3050376,literal,Mirabilis viscosa,literal,JPMYFOBNRRGFNO-UHFFFAOYSA-N,literal,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,literal,162666-2,en,literal,genkwanin,literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL210635,literal,437-64-9
22,uri,http://www.wikidata.org/entity/Q21314960,uri,http://www.wikidata.org/entity/Q27151395,literal,Mirabilis viscosa,literal,MQSZRBPYXNEFHF-UHFFFAOYSA-N,literal,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC=C(C=C3)O)O,literal,162666-2,en,literal,rhamnocitrin,literal,10.1016/S0305-1978(96)00081-6,literal,CHEMBL442289,literal,569-92-6
23,uri,http://www.wikidata.org/entity/Q13710,uri,http://www.wikidata.org/entity/Q408732,literal,Mirabilis jalapa,literal,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,literal,162591-2,en,literal,daidzein,literal,10.1021/NP0004092,literal,CHEMBL8145,literal,486-66-8
