,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,ipniID.type,ipniID,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q11116337,uri,http://www.wikidata.org/entity/Q104396345,literal,Zigadenus sibiricus,literal,SXWWLSYGHPJWBN-XWBZJNMKSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C(CCC45)C(C6=NCC(C)CC6)C)C3(C)CC2)C(O)C(O)C1O,en,literal,Verazinine,literal,543855-1,literal,10.1007/BF00574208,,,,
1,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q104938460,literal,Veratrum oblongum,literal,BMMRSXNAPFQLLU-UHFFFAOYSA-N,literal,OC1CC2=CCC3C4CCC5C(C)C6N(CC(C)CC6)CC5C4CC3C2(C)CC1,en,literal,"6,10,23-Trimethyl-4-azahexacyclo[12.11.0.02,11.04,9.015,24.018,23]pentacos-17-en-20-ol",literal,543518-1,literal,10.1248/CPB.27.2534,,,,
2,uri,http://www.wikidata.org/entity/Q15547724,uri,http://www.wikidata.org/entity/Q104193829,literal,Veratrum shanense,literal,OVSQVDMCBVZWGM-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,543531-1,literal,10.1016/0031-9422(77)84048-X,,,,
3,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110175255,literal,Chamaelirium luteum,literal,FHQKGHCEAYOEKL-SZZYPCJXSA-N,literal,OCC1OC(OCC2OC(OC3CCC4(C)C(C3)C(O)CC5C4CCC6(C)C5CC(OC7OC(CO)C(O)C(O)C7O)C6C(C)CC(O)C(O)C(C)C)C(O)C(O)C2O)C(O)C(O)C1O,en,literal,chamaeliroside E,literal,532651-1,literal,10.1021/NP300393Y,,,,
4,uri,http://www.wikidata.org/entity/Q3849177,uri,http://www.wikidata.org/entity/Q105179768,literal,Toxicoscordion venenosum,literal,NIEIJAOPLMFSMK-QGTMDQETSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(O)C(OC)=C8,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] 4-hydroxy-3-methoxybenzoate",literal,255815-2,literal,10.1021/JA01101A004,,,,
5,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q104403302,literal,Veratrum oblongum,literal,BMMRSXNAPFQLLU-SPZGTFFFSA-N,literal,OC1CC2=CCC3C4CCC5C(C)C6N(CC(C)CC6)CC5C4CC3C2(C)CC1,en,literal,Shinonomenine,literal,543518-1,literal,10.1016/0031-9422(94)00672-G,,,,
6,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q105112547,literal,Veratrum album var. oxysepalum,literal,IGDRXLIXNAWBBF-JRLIYKMQSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] acetate",literal,262864-2,literal,10.1248/YAKUSHI1947.79.5_609,literal,2777-79-9,,
7,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110174543,literal,Chamaelirium luteum,literal,HJMSZKKOQIZOLJ-XPMUQOCRSA-N,literal,OCC(C)CCC(O)C(C)C1C(O)CC2C3CC=C4CC(O)CCC4(C)C3CCC21C,en,literal,"(22s,25r)-Cholest-5-ene-3beta,16beta,22,26-tetrol",literal,532651-1,literal,10.1021/NP300393Y,,,,
8,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q105131856,literal,Paris polyphylla var. chinensis,literal,JNECMOBFZOCNCW-UDELEKSJSA-N,literal,OCC1OC(OC2CC(O)CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)C(OC8OC(C)C(O)C(O)C8O)C7O)C(CO)C65)C32C)C(OC9OC(C)C(O)C(O)C9O)C(OC%10OCC(O)C(O)C%10O)C1O,en,literal,Padelaoside B,literal,77188961-1,literal,10.1080/14786419.2015.1007137,,,,
9,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q105132239,literal,Veratrum album var. oxysepalum,literal,JOBMMOBXVRRLOS-WEAVPSJQSA-N,literal,O=C(OC1C(O)C2C(CN3CC(C)CCC3C2(O)C)C4CC56OC7(O)C(OC(=O)C(O)(C)CC)CCC6(C)C7CC(O)C5C14O)C(C)CC,,literal,Q105132239,literal,262864-2,literal,10.1007/BF00580584,,,,
