,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q27138126,literal,Oryctanthus spicatus,literal,FOGQAGLJUKZQEX-WLPCRHHKSA-N,literal,CC(=CC(=O)OC)CC1(C2CC2C3(C1CC4=C(C(=O)OC45C3CC6=C7C5C(=C(C)C(=O)OC)C(=O)C(C7(C8C6C8)C)O)CO)C)O,literal,550663-1,literal,142279-41-2,en,literal,shizukaol C,literal,10.1002/HLCA.200900299,,
1,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q72516802,literal,Oryctanthus spicatus,literal,WZKZSZYDBUUHLB-IBBKUXAASA-N,literal,O=C(OC)C(=C1C(=O)C(O)C2(C3=C(CC4C5(OC(=O)C(=C5CC6C(O)(COC(=O)C(=CC)C)C7CC7C46C)COC(=O)C)C13)C8CC82)C)C,literal,550663-1,literal,943136-39-8,en,literal,Chlorahololide D,literal,10.1002/HLCA.200900299,,
2,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q72516802,literal,Oryctanthus spicatus,literal,WZKZSZYDBUUHLB-IBBKUXAASA-N,literal,O=C(OC)C(=C1C(=O)C(O)C2(C3=C(CC4C5(OC(=O)C(=C5CC6C(O)(COC(=O)C(=CC)C)C7CC7C46C)COC(=O)C)C13)C8CC82)C)C,literal,550663-1,literal,943136-39-8,en,literal,Chlorahololide D,literal,10.1248/CPB.59.1281,,
3,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105171028,literal,Oryctanthus spicatus,literal,MRZXHHLSYHIZNO-QHSBEEBCSA-N,literal,O=C1OC2C(=C1C)CC3C(O)(C)CCCC3(C)C2,literal,550663-1,,,en,literal,"5alpha-Hydroxy-3,5beta,8abeta-trimethyl-2,4,4aalpha,5,6,7,8,8a,9,9aalpha-decahydronaphtho[2,3-b]furan-2-one",literal,10.1002/HLCA.200900299,,
4,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105283912,literal,Oryctanthus spicatus,literal,VCRQYSYGSKXUQD-YJZJOYDFSA-N,literal,O=C(OC)C(=C1C(=O)C(O)C2(C3=C1C45OC(=O)C(=C5CC6C(COC(=O)C)C7CC7C6(C)C4CC3(OO)C8CC82)CO)C)C,literal,550663-1,,,,literal,Q105283912,literal,10.1016/J.TETLET.2009.08.026,,
5,uri,http://www.wikidata.org/entity/Q18083920,uri,http://www.wikidata.org/entity/Q27159232,literal,Macrosolen globosus,literal,HZDDMDAKGIRCPP-SNAWJCMRSA-N,literal,COC1=CC(=CC(=C1OC)OC)C=CCO,literal,550482-1,literal,30273-62-2,en,literal,"3,4,5-trimethoxy cinnamyl alcohol",literal,10.1016/S0367-326X(03)00041-8,,
6,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105025801,literal,Oryctanthus spicatus,literal,HCKVSBCCVCMKKB-NGHDLRGFSA-N,literal,O=C1OC2=CC3(C)C4CC4C(O)(COC5OC(CO)C(O)C(O)C5O)C3CC2=C1C,literal,550663-1,,,en,literal,chloranoside A,literal,10.1021/NP070433G,,
7,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q27138127,literal,Oryctanthus spicatus,literal,UEHIWILSQZCXQY-LWKKLXHHSA-N,literal,CC(=C1C2C3=C(CC4C25C(=C(C(=O)O5)CO)CC6C4(C7CC7C6COC(=O)C)C)C8CC8C3(C(C1=O)O)C)C(=O)OC,literal,550663-1,,,en,literal,shizukaol D,literal,10.1248/CPB.59.1281,,
8,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q104195483,literal,Oryctanthus spicatus,literal,PWMWTNKJRHUMOB-UHFFFAOYSA-N,literal,O=C(O)CC1C(=C)CCC2C(C(=O)O)(C)CCCC12C,literal,550663-1,,,en,literal,"5-(carboxymethyl)-1,4a-dimethyl-6-methylidene-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carboxylic acid",literal,10.1002/CBDV.200800300,,
9,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105384386,literal,Oryctanthus spicatus,literal,ZVKZZRBORSKZLF-SOGHIHTMSA-N,literal,O=C(OC)C(=C1C(=O)C(O)C2(C3=C1C45OC(=O)C6=C5CC7C(O)(COC(=O)C(=CCOC(=O)CCC(=O)OC6)C)C8CC8C7(C)C4CC3(O)C9CC92)C)C,literal,550663-1,,,,literal,Q105384386,literal,10.1248/CPB.59.1281,,
10,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105165437,literal,Oryctanthus spicatus,literal,MJIAPLQIAZZLLD-UHFFFAOYSA-N,literal,O=C(O)C1(C)CCCC2(C)C(C(=C)CCC12)CO,literal,550663-1,,,en,literal,"5-(hydroxymethyl)-1,4a-dimethyl-6-methylidene-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carboxylic acid",literal,10.1002/CBDV.200800300,,
11,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105291271,literal,Oryctanthus spicatus,literal,VQIMOHFODDGHOJ-XEQPTWOZSA-N,literal,O=C(OC)C(=C1C(=O)C(O)C2(C3=C(CC4C5(OC(=O)C6=C5CC7C(O)(COC(=O)C(=CCOC(=O)C(O)CC(=O)OC6)C)C8CC8C47C)C13)C9CC92)C)C,literal,550663-1,,,en,literal,Shizukaol G,literal,10.1002/HLCA.200900299,,
12,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q104399745,literal,Oryctanthus spicatus,literal,CBDKFNUQVOMQJR-OXVUZWBSSA-N,literal,O=C(OC)C(=C1C(=O)C(O)C2(C3=C(CC4C5(OC(=O)C(=C5CC6C(COC(=O)C)C7CC7C64C)C)C13)C8CC82)C)C,literal,550663-1,,,en,literal,shizukaol E,literal,10.1021/NP070433G,,
13,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q104990588,literal,Oryctanthus spicatus,literal,DWKVFTSXSNTDJB-QCEMKRCNSA-N,literal,O=C1OC2(OC)C(=C1C)CC3C(O)(C)CCCC3(C)C2,literal,550663-1,,,en,literal,"(4aS,5S,8aS,9aR)-5-hydroxy-9a-methoxy-3,5,8a-trimethyl-4,4a,6,7,8,9-hexahydrobenzo[f][1]benzofuran-2-one",literal,10.1002/HLCA.200900299,,
14,uri,http://www.wikidata.org/entity/Q18083920,uri,http://www.wikidata.org/entity/Q415007,literal,Macrosolen globosus,literal,PFTAWBLQPZVEMU-DZGCQCFKSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,literal,550482-1,literal,154-23-4,en,literal,(+)-catechin,literal,10.1016/S0367-326X(03)00041-8,literal,CHEMBL311498
15,uri,http://www.wikidata.org/entity/Q15382015,uri,http://www.wikidata.org/entity/Q105252906,literal,Oryctanthus spicatus,literal,SHDVXCYXBYXGAR-BQPKVCGRSA-N,literal,O=C1OCC2(O)C3CC3C4(C)C2CC5=C(C(=O)OC65C=7C8=C(C(=O)OC8(O)C(O)C9(C7C(O)(CC64)C%10CC%109)C)C)COC(=O)CCC(=O)OCC(=C1)C,literal,550663-1,,,en,literal,chloramultilide B,literal,10.1021/NP070433G,,
