,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q2706691,uri,http://www.wikidata.org/entity/Q620730,literal,Tacca integrifolia,literal,DHMQDGOQFOQNFH-UHFFFAOYSA-N,literal,C(C(=O)O)N,literal,56-40-6,literal,827904-1,en,literal,glycine,literal,CHEMBL773,literal,10.1016/0305-1978(86)90092-X
1,uri,http://www.wikidata.org/entity/Q2706691,uri,http://www.wikidata.org/entity/Q483752,literal,Tacca integrifolia,literal,KZSNJWFQEVHDMF-BYPYZUCNSA-N,literal,CC(C)C(C(=O)O)N,literal,72-18-4,literal,827904-1,en,literal,L-valine,literal,CHEMBL43068,literal,10.1016/0305-1978(86)90092-X
2,uri,http://www.wikidata.org/entity/Q2706691,uri,http://www.wikidata.org/entity/Q82134949,literal,Tacca integrifolia,literal,XWKAVQKJQBISOL-ZETCQYMHSA-N,literal,O=C(O)C(NC=1C=CC=CC1)C,literal,705-61-3,literal,827904-1,en,literal,phenyl-Alanine,,,literal,10.1016/0305-1978(86)90092-X
3,uri,http://www.wikidata.org/entity/Q2706691,uri,http://www.wikidata.org/entity/Q485277,literal,Tacca integrifolia,literal,HNDVDQJCIGZPNO-YFKPBYRVSA-N,literal,C1=C(NC=N1)CC(C(=O)O)N,literal,71-00-1,literal,827904-1,en,literal,L-histidine,literal,CHEMBL17962,literal,10.1016/0305-1978(86)90092-X
4,uri,http://www.wikidata.org/entity/Q7673679,uri,http://www.wikidata.org/entity/Q82134949,literal,Tacca cristata,literal,XWKAVQKJQBISOL-ZETCQYMHSA-N,literal,O=C(O)C(NC=1C=CC=CC1)C,literal,705-61-3,literal,827893-1,en,literal,phenyl-Alanine,,,literal,10.1016/0305-1978(86)90092-X
5,uri,http://www.wikidata.org/entity/Q7673679,uri,http://www.wikidata.org/entity/Q620730,literal,Tacca cristata,literal,DHMQDGOQFOQNFH-UHFFFAOYSA-N,literal,C(C(=O)O)N,literal,56-40-6,literal,827893-1,en,literal,glycine,literal,CHEMBL773,literal,10.1016/0305-1978(86)90092-X
6,uri,http://www.wikidata.org/entity/Q2706691,uri,http://www.wikidata.org/entity/Q484940,literal,Tacca integrifolia,literal,AGPKZVBTJJNPAG-WHFBIAKZSA-N,literal,CCC(C)C(C(=O)O)N,literal,73-32-5,literal,827904-1,en,literal,L-isoleucine,literal,CHEMBL1233584,literal,10.1016/0305-1978(86)90092-X
7,uri,http://www.wikidata.org/entity/Q7673679,uri,http://www.wikidata.org/entity/Q483752,literal,Tacca cristata,literal,KZSNJWFQEVHDMF-BYPYZUCNSA-N,literal,CC(C)C(C(=O)O)N,literal,72-18-4,literal,827893-1,en,literal,L-valine,literal,CHEMBL43068,literal,10.1016/0305-1978(86)90092-X
8,uri,http://www.wikidata.org/entity/Q7673679,uri,http://www.wikidata.org/entity/Q485277,literal,Tacca cristata,literal,HNDVDQJCIGZPNO-YFKPBYRVSA-N,literal,C1=C(NC=N1)CC(C(=O)O)N,literal,71-00-1,literal,827893-1,en,literal,L-histidine,literal,CHEMBL17962,literal,10.1016/0305-1978(86)90092-X
9,uri,http://www.wikidata.org/entity/Q7673679,uri,http://www.wikidata.org/entity/Q484940,literal,Tacca cristata,literal,AGPKZVBTJJNPAG-WHFBIAKZSA-N,literal,CCC(C)C(C(=O)O)N,literal,73-32-5,literal,827893-1,en,literal,L-isoleucine,literal,CHEMBL1233584,literal,10.1016/0305-1978(86)90092-X
