,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q2282487,uri,http://www.wikidata.org/entity/Q27138891,literal,Fraxinus sieboldiana,literal,QVGFDWPRYXYPGU-NMLBUPMWSA-N,literal,CC(C)C1=C(C=C2C(=C1)CCC3C24CCCC3(COC4O)C)O,literal,609216-1,en,literal,"(4S,5S,10R,20R)-12,18-dihydroxyabieta-8,11,13-trien-20-aldehyde 18,20-hemiacetal",literal,10.1021/NP100583U,literal,CHEMBL1651067,,
1,uri,http://www.wikidata.org/entity/Q2282487,uri,http://www.wikidata.org/entity/Q105010748,literal,Fraxinus sieboldiana,literal,GLBGTIVKNQKHLD-BTXJZROQSA-N,literal,O=C1OC=2C=C(O)C(OC3OC(COC(=O)C4=CC=C(OC5OC(CO)C(O)C(O)C5O)C(OC)=C4)C(O)C(O)C3O)=CC2C=C1,literal,609216-1,en,literal,6-[[6-O-[4-(beta-D-Glucopyranosyloxy)-3-methoxybenzoyl]-beta-D-glucopyranosyl]oxy]-7-hydroxycoumarin,literal,10.1021/NP0700467,,,,
2,uri,http://www.wikidata.org/entity/Q5494014,uri,http://www.wikidata.org/entity/Q104968826,literal,Fraxinus floribunda,literal,CRSFLLTWRCYNNX-YJDQBUFVSA-N,literal,O=C1OC=2C(OC3OC(CO)C(O)C(O)C3O)=C(O)C(OC)=CC2C=C1,literal,609022-1,en,literal,fraxetin-8-β-D-allopyranoside,literal,10.1016/S0031-9422(00)91068-9,,,,
3,uri,http://www.wikidata.org/entity/Q2282487,uri,http://www.wikidata.org/entity/Q105286858,literal,Fraxinus sieboldiana,literal,VIKGCVPVRTWXMM-KAUBVSFJSA-N,literal,OCC(O)C(O)C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C(OC)=C1,literal,609216-1,en,literal,"(2S,3R,4S,5S,6R)-2-[2,6-dimethoxy-4-[(1S,2S)-1,2,3-trihydroxypropyl]phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1021/NP0700467,,,,
4,uri,http://www.wikidata.org/entity/Q2883428,uri,http://www.wikidata.org/entity/Q104959632,literal,Fraxinus chinensis,literal,CICMVLOHBZPXIT-WNISUXOKSA-N,literal,OC1=CC=C(C=C1OC)C2OCC3(O)C(OCC23)C4=CC=C(O)C(OC)=C4,literal,608969-1,en,literal,8-Hydroxypinoresinol,literal,10.1248/CPB.32.4482,,,literal,81426-17-7
5,uri,http://www.wikidata.org/entity/Q2883428,uri,http://www.wikidata.org/entity/Q105200277,literal,Fraxinus chinensis,literal,OUMSYBLEVIEFQB-LZVFXAMKSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(=CC)C1CC(=O)OCCC3=CC=C(OC)C(O)=C3,literal,608969-1,en,literal,4''-Methyloleuropein,literal,10.1007/S10600-010-9498-4,,,,
6,uri,http://www.wikidata.org/entity/Q5963868,uri,http://www.wikidata.org/entity/Q104959632,literal,Fraxinus japonica,literal,CICMVLOHBZPXIT-WNISUXOKSA-N,literal,OC1=CC=C(C=C1OC)C2OCC3(O)C(OCC23)C4=CC=C(O)C(OC)=C4,literal,609055-1,en,literal,8-Hydroxypinoresinol,literal,10.1248/CPB.32.4482,,,literal,81426-17-7
7,uri,http://www.wikidata.org/entity/Q2883428,uri,http://www.wikidata.org/entity/Q105235680,literal,Fraxinus chinensis,literal,RFWGABANNQMHMZ-UHFFFAOYSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(=CC)C1CC(=O)OCCC3=CC=C(O)C(O)=C3,literal,608969-1,en,literal,"methyl 4-[2-[2-(3,4-dihydroxyphenyl)ethoxy]-2-oxoethyl]-5-ethylidene-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylate",literal,10.1016/S0031-9422(97)00790-5,,,,
8,uri,http://www.wikidata.org/entity/Q2883428,uri,http://www.wikidata.org/entity/Q105235680,literal,Fraxinus chinensis,literal,RFWGABANNQMHMZ-UHFFFAOYSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(=CC)C1CC(=O)OCCC3=CC=C(O)C(O)=C3,literal,608969-1,en,literal,"methyl 4-[2-[2-(3,4-dihydroxyphenyl)ethoxy]-2-oxoethyl]-5-ethylidene-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylate",literal,10.1016/S0031-9422(00)89092-5,,,,
9,uri,http://www.wikidata.org/entity/Q2883428,uri,http://www.wikidata.org/entity/Q105235680,literal,Fraxinus chinensis,literal,RFWGABANNQMHMZ-UHFFFAOYSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C(=CC)C1CC(=O)OCCC3=CC=C(O)C(O)=C3,literal,608969-1,en,literal,"methyl 4-[2-[2-(3,4-dihydroxyphenyl)ethoxy]-2-oxoethyl]-5-ethylidene-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylate",literal,10.1016/S0031-9422(98)00097-1,,,,
