,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q15342278,uri,http://www.wikidata.org/entity/Q416260,literal,Diospyros singaporensis,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,77-52-1,literal,323022-1,en,literal,ursolic acid,literal,CHEMBL169,literal,10.1016/S0031-9422(00)80490-2
1,uri,http://www.wikidata.org/entity/Q15342488,uri,http://www.wikidata.org/entity/Q416260,literal,Diospyros dendo,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,77-52-1,literal,322313-1,en,literal,ursolic acid,literal,CHEMBL169,literal,10.1021/NP049600S
2,uri,http://www.wikidata.org/entity/Q15342731,uri,http://www.wikidata.org/entity/Q416260,literal,Diospyros sumatrana,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,77-52-1,literal,323069-1,en,literal,ursolic acid,literal,CHEMBL169,literal,10.1016/S0031-9422(00)80490-2
3,uri,http://www.wikidata.org/entity/Q15342136,uri,http://www.wikidata.org/entity/Q72435829,literal,Diospyros rhodocalyx,literal,YWJGYBXHXATAQY-BOTWUFHUSA-N,literal,O=C(OC1CCC2(C)C3CCC4(C(=CCC5(C)CCC(C)(C)CC45)C3(C)CCC2C1(C)C)C)C,literal,2189-80-2,literal,322938-1,en,literal,Acetyl taraxerol,,,literal,10.1055/S-2006-958085
4,uri,http://www.wikidata.org/entity/Q15342278,uri,http://www.wikidata.org/entity/Q72435829,literal,Diospyros singaporensis,literal,YWJGYBXHXATAQY-BOTWUFHUSA-N,literal,O=C(OC1CCC2(C)C3CCC4(C(=CCC5(C)CCC(C)(C)CC45)C3(C)CCC2C1(C)C)C)C,literal,2189-80-2,literal,323022-1,en,literal,Acetyl taraxerol,,,literal,10.1016/S0031-9422(00)80490-2
5,uri,http://www.wikidata.org/entity/Q15342278,uri,http://www.wikidata.org/entity/Q72435829,literal,Diospyros singaporensis,literal,YWJGYBXHXATAQY-BOTWUFHUSA-N,literal,O=C(OC1CCC2(C)C3CCC4(C(=CCC5(C)CCC(C)(C)CC45)C3(C)CCC2C1(C)C)C)C,literal,2189-80-2,literal,323022-1,en,literal,Acetyl taraxerol,,,literal,10.1016/S0031-9422(97)01020-0
6,uri,http://www.wikidata.org/entity/Q15342731,uri,http://www.wikidata.org/entity/Q72435829,literal,Diospyros sumatrana,literal,YWJGYBXHXATAQY-BOTWUFHUSA-N,literal,O=C(OC1CCC2(C)C3CCC4(C(=CCC5(C)CCC(C)(C)CC45)C3(C)CCC2C1(C)C)C)C,literal,2189-80-2,literal,323069-1,en,literal,Acetyl taraxerol,,,literal,10.1016/S0031-9422(00)80490-2
7,uri,http://www.wikidata.org/entity/Q15342136,uri,http://www.wikidata.org/entity/Q409366,literal,Diospyros rhodocalyx,literal,MQYXUWHLBZFQQO-QGTGJCAVSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,literal,545-47-1,literal,322938-1,en,literal,lupeol,literal,CHEMBL289191,literal,10.1016/S0031-9422(97)01020-0
8,uri,http://www.wikidata.org/entity/Q15342136,uri,http://www.wikidata.org/entity/Q409366,literal,Diospyros rhodocalyx,literal,MQYXUWHLBZFQQO-QGTGJCAVSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,literal,545-47-1,literal,322938-1,en,literal,lupeol,literal,CHEMBL289191,literal,10.1055/S-2006-958085
9,uri,http://www.wikidata.org/entity/Q15342278,uri,http://www.wikidata.org/entity/Q72497776,literal,Diospyros singaporensis,literal,RIXNFYQZWDGQAE-DFHVBEEKSA-N,literal,O=C(OC1CCC2(C)C3CC=C4C5CC(C)(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C,literal,4339-72-4,literal,323022-1,en,literal,Oleanolic acid 3-acetate,,,literal,10.1016/S0031-9422(00)80490-2
