,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,ipniID.type,ipniID,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q111241391,literal,Hydnocarpus octandra,literal,VMAAWTYFHUMTRL-UHFFFAOYSA-N,literal,O=CC1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C)C(O)CCC5C4(C)CCC3(C)C2C1,en,literal,"10-Hydroxy-2,4a,6a,6a,8a,9,14a-heptamethyl-1,3,4,5,6,6b,7,8,9,10,11,12,12a,13,14,14b-hexadecahydropicene-2-carbaldehyde",literal,10.1039/P19770000418,literal,111760-1,,,,
1,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q111241391,literal,Hydnocarpus octandra,literal,VMAAWTYFHUMTRL-UHFFFAOYSA-N,literal,O=CC1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C)C(O)CCC5C4(C)CCC3(C)C2C1,en,literal,"10-Hydroxy-2,4a,6a,6a,8a,9,14a-heptamethyl-1,3,4,5,6,6b,7,8,9,10,11,12,12a,13,14,14b-hexadecahydropicene-2-carbaldehyde",literal,10.1016/S0031-9422(00)84667-1,literal,111760-1,,,,
2,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q105386487,literal,Hydnocarpus pentandrus,literal,ZYWKQKQEAVWKHD-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=4OC(CO)C(OC4C3)C5=CC=C(O)C(OC)=C5,en,literal,"2-[2,3-Dihydro-3-(4-hydroxy-3-methoxyphenyl)-2-(hydroxymethyl)-1,4-benzodioxin-6-yl]-5,7-dihydroxy-4h-1-benzopyran-4-one",literal,10.1016/S0040-4039(01)86949-5,literal,365635-1,,,,
3,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q110190172,literal,Hydnocarpus anthelminthicus,literal,GFENFUMHFBPKMO-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=C(O)C=4OC(C5=CC=C(O)C(OC)=C5)C(C4C3)CO,en,literal,Isohydnocarpin,literal,10.1080/10286020.2010.543131,literal,365610-1,,,,
4,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q111241731,literal,Hydnocarpus octandra,literal,DQQZMZWAURMSRL-UHFFFAOYSA-N,literal,OCC1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C)C(O)CCC5C4(C)CCC3(C)C2C1,en,literal,"d:a-Friedooleanane-3,29-diol, (3alpha,20alpha)-",literal,10.1039/P19770000418,literal,111760-1,,,,
5,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q111241731,literal,Hydnocarpus octandra,literal,DQQZMZWAURMSRL-UHFFFAOYSA-N,literal,OCC1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C)C(O)CCC5C4(C)CCC3(C)C2C1,en,literal,"d:a-Friedooleanane-3,29-diol, (3alpha,20alpha)-",literal,10.1016/S0031-9422(00)84667-1,literal,111760-1,,,,
6,uri,http://www.wikidata.org/entity/Q5693433,uri,http://www.wikidata.org/entity/Q105259021,literal,Hydnocarpus kurzii,literal,SRELFLQJDOTNLJ-OAHLLOKOSA-N,literal,O=C(O)CCCCCCCCCCC1C=CCC1,en,literal,11-[(1S)-cyclopent-2-en-1-yl]undecanoic acid,literal,10.1039/CT9058700884,literal,111753-1,,,,
7,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q105384848,literal,Hydnocarpus anthelminthicus,literal,ZWEBYMYJDLNXNN-PMACEKPBSA-N,literal,O=C(OCC(O)CO)CCCCCCCCCCCCC1C=CCC1,en,literal,"[(2S)-2,3-dihydroxypropyl] 13-[(1R)-cyclopent-2-en-1-yl]tridecanoate",literal,10.1002/CBDV.201000072,literal,365610-1,,,,
8,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q416260,literal,Hydnocarpus pentandrus,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,en,literal,ursolic acid,literal,10.1055/S-0028-1097302,literal,365635-1,literal,77-52-1,literal,CHEMBL169
9,uri,http://www.wikidata.org/entity/Q17565346,uri,http://www.wikidata.org/entity/Q111242184,literal,Hydnocarpus alpinus,literal,VOPGBQMJRKFCAW-BYXVQRNISA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C(O)=C3)C1OC4OC(O)C(O)C(O)C4O,en,literal,"(2R,3R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2R,3R,4R,5R,6R)-3,4,5,6-tetrahydroxyoxan-2-yl]oxy-2,3-dihydrochromen-4-one",literal,10.1016/J.BIOCHI.2015.02.003,literal,111739-1,,,,
10,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q72482749,literal,Hydnocarpus pentandrus,literal,NMICSFNNFDNGEL-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=4OC(C5=CC=C(O)C(OC)=C5)C(OC4C3)CO,en,literal,Hydnocarpin,literal,10.1002/PTR.1491,literal,365635-1,literal,51419-48-8,,
11,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q72482749,literal,Hydnocarpus pentandrus,literal,NMICSFNNFDNGEL-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=4OC(C5=CC=C(O)C(OC)=C5)C(OC4C3)CO,en,literal,Hydnocarpin,literal,10.1021/NP50077A010,literal,365635-1,literal,51419-48-8,,
12,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q110190172,literal,Hydnocarpus castaneus,literal,GFENFUMHFBPKMO-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=C(O)C=4OC(C5=CC=C(O)C(OC)=C5)C(C4C3)CO,en,literal,Isohydnocarpin,literal,10.1080/10286020.2010.543131,literal,111741-1,,,,
13,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q105384848,literal,Hydnocarpus castaneus,literal,ZWEBYMYJDLNXNN-PMACEKPBSA-N,literal,O=C(OCC(O)CO)CCCCCCCCCCCCC1C=CCC1,en,literal,"[(2S)-2,3-dihydroxypropyl] 13-[(1R)-cyclopent-2-en-1-yl]tridecanoate",literal,10.1002/CBDV.201000072,literal,111741-1,,,,
14,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q104398933,literal,Hydnocarpus pentandrus,literal,PHFUCJXOLZAQNH-YTJSKHQGSA-N,literal,O=C(OC1CCC2(C)C3CC=C4C5C(C)C(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C,en,literal,"(4aS,6aR,6aS,6bR,12aR,14bS)-10-acetyloxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",literal,10.1055/S-0028-1097302,literal,365635-1,,,,
15,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q99390646,literal,Hydnocarpus pentandrus,literal,XADKGDBMULSEAC-UHFFFAOYSA-N,literal,O=C(O)CCCCC=CCCCCCCC1C=CCC1,en,literal,13-cyclopent-2-en-1-yltridec-6-enoic acid,literal,10.1021/JA01267A064,literal,365635-1,literal,502-31-8,,
16,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q99390646,literal,Hydnocarpus pentandrus,literal,XADKGDBMULSEAC-UHFFFAOYSA-N,literal,O=C(O)CCCCC=CCCCCCCC1C=CCC1,en,literal,13-cyclopent-2-en-1-yltridec-6-enoic acid,literal,10.1021/JA01878A025,literal,365635-1,literal,502-31-8,,
17,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q105250308,literal,Hydnocarpus annamensis,literal,SCOGTMHNCINCBN-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1OC)C2OC3C(O)C(O)C(OC3OC2CO)CO,en,literal,"2-(4-hydroxy-3-methoxyphenyl)-3,6-bis(hydroxymethyl)-3,4a,6,7,8,8a-hexahydro-2H-pyrano[2,3-b][1,4]dioxine-7,8-diol",literal,10.1055/S-2006-946678,literal,365607-1,,,,
18,uri,http://www.wikidata.org/entity/Q5954066,uri,http://www.wikidata.org/entity/Q27131069,literal,Hydnocarpus anthelminticus,literal,XMVQWNRDPAAMJB-QGZVFWFLSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(S)-chaulmoogric acid,literal,10.1016/S0021-9673(01)92485-9,,,literal,29106-32-9,literal,CHEMBL2204421
