,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q422956,literal,Punica granatum,literal,XBDQKXXYIPTUBI-UHFFFAOYSA-N,literal,CCC(=O)O,literal,79-09-4,literal,554129-1,literal,CHEMBL14021,en,literal,propionic acid,literal,10.1016/J.IJFOODMICRO.2013.03.002
1,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q424998,literal,Punica granatum,literal,DTUQWGWMVIHBKE-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)CC=O,literal,122-78-1,literal,554129-1,literal,CHEMBL1233464,en,literal,phenylacetaldehyde,literal,10.1080/10942912.2016.1155057
2,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q420698,literal,Punica granatum,literal,JARKCYVAAOWBJS-UHFFFAOYSA-N,literal,CCCCCC=O,literal,66-25-1,literal,554129-1,literal,CHEMBL280331,en,literal,hexanal,literal,10.1080/10942912.2016.1155057
3,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q420698,literal,Punica granatum,literal,JARKCYVAAOWBJS-UHFFFAOYSA-N,literal,CCCCCC=O,literal,66-25-1,literal,554129-1,literal,CHEMBL280331,en,literal,hexanal,literal,10.1016/J.JFCA.2018.09.004
4,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q620730,literal,Punica granatum,literal,DHMQDGOQFOQNFH-UHFFFAOYSA-N,literal,C(C(=O)O)N,literal,56-40-6,literal,554129-1,literal,CHEMBL773,en,literal,glycine,literal,10.1186/S12870-019-2042-1
5,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q4545648,literal,Punica granatum,literal,LLENXGNWVNSBQG-VFTFQOQOSA-N,literal,O=C(OCC1OC(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(O)C1O)C4=CC(O)=C(O)C(O)=C4,literal,79886-49-0,literal,554129-1,,,en,literal,"1,2,6-Trigalloyl glucose",literal,10.1016/S0031-9422(00)89820-9
6,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q4545648,literal,Punica granatum,literal,LLENXGNWVNSBQG-VFTFQOQOSA-N,literal,O=C(OCC1OC(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(O)C1O)C4=CC(O)=C(O)C(O)=C4,literal,79886-49-0,literal,554129-1,,,en,literal,"1,2,6-Trigalloyl glucose",literal,10.1248/CPB.56.1628
7,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q51617501,literal,Punica granatum,literal,KSEBMYQBYZTDHS-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,1135-24-6,literal,554129-1,,,en,literal,(E/Z)-ferulic acid,literal,10.1006/JFCA.2002.1071
8,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q51617501,literal,Punica granatum,literal,KSEBMYQBYZTDHS-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,1135-24-6,literal,554129-1,,,en,literal,(E/Z)-ferulic acid,literal,10.1016/S0889-1575(02)91071-9
9,uri,http://www.wikidata.org/entity/Q13188,uri,http://www.wikidata.org/entity/Q422613,literal,Punica granatum,literal,GHVNFZFCNZKVNT-UHFFFAOYSA-N,literal,CCCCCCCCCC(=O)O,literal,334-48-5,literal,554129-1,literal,CHEMBL107498,en,literal,capric acid,literal,10.3390/MOLECULES22101606
