,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000152,7400-08-0,p-Coumaric acid,C9H8O3,164.04734412,Leptolaena pauciflora,Leptolaena,KNApSAcK
1,C00000152,7400-08-0,p-Coumaric acid,C9H8O3,164.04734412,Leptolaena diospyroidea,Leptolaena,KNApSAcK
2,C00000615,501-16-6,Caffeic acid,C9H8O4,180.04225874,Leptolaena pauciflora,Leptolaena,KNApSAcK
3,C00000615,501-16-6,Caffeic acid,C9H8O4,180.04225874,Leptolaena diospyroidea,Leptolaena,KNApSAcK
4,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Leptolaena diospyroidea,Leptolaena,KNApSAcK
5,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Leptolaena pauciflora,Leptolaena,KNApSAcK
6,C00002648,490-79-9,Gentisic acid,C7H6O4,154.02660868,Leptolaena pauciflora,Leptolaena,KNApSAcK
7,C00002648,490-79-9,Gentisic acid,C7H6O4,154.02660868,Leptolaena diospyroidea,Leptolaena,KNApSAcK
8,C00002682,121-34-6,Vanillic acid,C8H8O4,168.04225874,Leptolaena diospyroidea,Leptolaena,KNApSAcK
9,C00002682,121-34-6,Vanillic acid,C8H8O4,168.04225874,Leptolaena pauciflora,Leptolaena,KNApSAcK
10,C00005730,17912-87-7,Myricitrin,C21H20O12,464.09547611,Leptolaena diospyroidea,Leptolaena,KNApSAcK
11,C00005730,17912-87-7,Myricitrin,C21H20O12,464.09547611,Leptolaena pauciflora,Leptolaena,KNApSAcK
0,C00008273,97126-57-3,Bonannione A,C25H28O5,408.193674,Schizolaena hystrix,Schizolaena,KNApSAcK
1,C00008647,96917-35-0,Bonanniol A,C25H28O6,424.18858863,Schizolaena hystrix,Schizolaena,KNApSAcK
2,C00014173,97134-79-7,Macarangaflavanone B,C25H28O5,408.193674,Schizolaena hystrix,Schizolaena,KNApSAcK
3,C00042145,849637-53-2,4'-O-Methylbonannione A,C26H30O5,422.20932407,Schizolaena hystrix,Schizolaena,KNApSAcK
4,C00042965,849665-20-9,Schizolaenone A,C30H36O5,476.25627426,Schizolaena hystrix,Schizolaena,KNApSAcK
5,C00042966,849665-21-0,Schizolaenone B,C30H36O6,492.25118888,Schizolaena hystrix,Schizolaena,KNApSAcK
0,C00002378,2611-67-8,Cyanin,C27H31O16,611.16120995,Metrosideros spp.,Metrosideros,KNApSAcK
1,C00002384,16727-30-3,Malvin,C29H35O17,655.1874247,Metrosideros spp.,Metrosideros,KNApSAcK
2,C00006698,6906-38-3,Myrtillin,C21H21O12.Cl,500.07215385,Metrosideros spp.,Metrosideros,KNApSAcK
3,C00006709,17670-06-3,Delphin,C27H31O17,627.15612457,Metrosideros spp.,Metrosideros,KNApSAcK
4,C00006722,6988-81-4,Petunidin 3-glucoside,C22H23O12.Cl,514.08780391,Metrosideros spp.,Metrosideros,KNApSAcK
5,C00006728,25846-73-5,Petunin,C28H33O17,641.17177463,Metrosideros spp.,Metrosideros,KNApSAcK
6,C00006735,7228-78-6,Oenin,C23H25O12,493.13460127,Metrosideros spp.,Metrosideros,KNApSAcK
7,C00013328,520-31-0,Tricetin,C15H10O7,302.04265268,Metrosideros umbellata,Metrosideros,KNApSAcK
8,C00013328,520-31-0,Tricetin,C15H10O7,302.04265268,Metrosideros excelsa,Metrosideros,KNApSAcK
