,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000152,7400-08-0,p-Coumaric acid,C9H8O3,164.04734412,Commelina communis,Commelina,KNApSAcK
1,C00000615,501-16-6,Caffeic acid,C9H8O4,180.04225874,Commelina communis,Commelina,KNApSAcK
2,C00000674,491-70-3,"5,7,3',4'-Tetrahydroxyflavone",C15H10O6,286.04773805,Commelina communis,Commelina,KNApSAcK
3,C00001036,520-34-3,Diosmetin,C16H12O6,300.06338812,Commelina communis,Commelina,KNApSAcK
4,C00001055,4261-42-1,Isoorientin,C21H20O11,448.10056148,Commelina communis L,Commelina,KNApSAcK
5,C00001059,38953-85-4,Isovitexin,C21H20O10,432.10564686,Commelina communis L,Commelina,KNApSAcK
6,C00001078,28608-75-5,Orientin,C21H20O11,448.10056148,Commelina communis L,Commelina,KNApSAcK
7,C00001110,3681-93-4,Vitexin,C21H20O10,432.10564686,Commelina communis L,Commelina,KNApSAcK
8,C00001165,69-65-8,D-Mannitol,C6H14O6,182.07903818,Commelina communis,Commelina,KNApSAcK
9,C00002037,59920-31-9,"2R,5R-Dihydroxymethyl-3R,4R-dihydroxy-pyrrolidine",C6H13NO4,163.08445791,Commelina communis,Commelina,KNApSAcK
10,C00002657,123-08-0,4-Hydroxybenzaldehyde,C7H6O2,122.03677944,Commelina communis,Commelina,KNApSAcK
11,C00002668,99-50-3,"3,4-Dihydroxybenzoic acid",C7H6O4,154.02660868,Commelina communis,Commelina,KNApSAcK
12,C00002674,530-57-4,Syringic acid,C9H10O5,198.05282343,Commelina communis,Commelina,KNApSAcK
13,C00002682,121-34-6,Vanillic acid,C8H8O4,168.04225874,Commelina communis,Commelina,KNApSAcK
14,C00002724,327-97-9,3-O-Caffeoylquinic acid,C16H18O9,354.09508217,Commelina communis,Commelina,KNApSAcK
15,C00002743,1135-24-6,Ferulic acid,C10H10O4,194.05790881,Commelina communis,Commelina,KNApSAcK
16,C00002904,155-58-8,Rhaponticin,C21H24O9,420.14203237,Commelina communis,Commelina,KNApSAcK
17,C00003817,520-36-5,Apigenin,C15H10O5,270.05282343,Commelina communis,Commelina,KNApSAcK
18,C00004261,20344-46-1,Luteolin 5-O-beta-D-glucopyranoside,C21H20O11,448.10056148,Commelina communis,Commelina,KNApSAcK
19,C00004266,5373-11-5,Cinaroside,C21H20O11,448.10056148,Commelina communis,Commelina,KNApSAcK
20,C00004276,6920-38-3,"5,7,3',4'-Tetrahydroxyflavone 4'-beta-D-glucopyranoside",C21H20O11,448.10056148,Commelina communis,Commelina,KNApSAcK
21,C00004338,19993-32-9,Chrysoeriol 7-O-beta-D-glucopyranoside,C22H22O11,462.11621155,Commelina communis L,Commelina,KNApSAcK
22,C00004584,17093-86-6,"3,3',4',7-Tetramethoxyflavone",C19H18O6,342.11033831,Commelina communis,Commelina,KNApSAcK
23,C00004631,117-39-5,Quercetin,C15H10O7,302.04265268,Commelina communis,Commelina,KNApSAcK
24,C00004635,480-19-3,Isorhamnetin,C16H12O7,316.05830274,Commelina communis,Commelina,KNApSAcK
25,C00005372,482-36-0,Hyperin,C21H20O12,464.09547611,Commelina communis,Commelina,KNApSAcK
26,C00005373,482-35-9,Hirsutrin,C21H20O12,464.09547611,Commelina communis L,Commelina,KNApSAcK
27,C00005374,522-12-3,Quercetin 3-O-alpha-L-rhamnoside,C21H20O11,448.10056148,Commelina communis,Commelina,KNApSAcK
28,C00005413,153-18-4,Quercetin 3-rutinoside,C27H30O16,610.15338491,Commelina communis,Commelina,KNApSAcK
29,C00005525,5041-82-7,Isorhamnetin 3-O-beta-D-glucopyranoside,C22H22O12,478.11112617,Commelina communis L,Commelina,KNApSAcK
30,C00005548,604-80-8,Isorhamnetin 3-O-rutinoside,C28H32O16,624.16903498,Commelina communis L,Commelina,KNApSAcK
