,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00001690,482-91-7,Aricine,C22H26N2O4,382.18925733,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
1,C00002173,1435-55-8,Hydroquinidine,C20H26N2O2,326.19942809,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
2,C00024492,88607-54-9,18-Oxohaplocidine,C21H24N2O4,368.17360727,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
3,C00024515,466-45-5,Aspidocarpine,C22H30N2O3,370.22564284,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
4,C00024518,2494-58-8,Aspidolimidine,C22H28N2O4,384.2049074,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
5,C00024536,2671-46-7,Haplocidine,C21H26N2O3,354.19434271,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
6,C00024569,2636-98-8,Limapodine,C21H28N2O3,356.20999277,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
7,C00024595,36193-36-9,Rhazinilam,C19H22N2O,294.17321334,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
8,C00024606,27498-98-2,Tetrahydrosecodine,C21H30N2O2,342.23072822,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
9,C00026861,2270-72-6,Dihydrocorynantheol,C19H26N2O,298.20451347,Aspidosperma marcgravianum,Marcgravia,KNApSAcK
10,C00031117,56-54-2,Quinidine,C20H24N2O2,324.18377802,Aspidosperma marcgravianum L.,Marcgravia,KNApSAcK
0,C00002724,327-97-9,3-O-Caffeoylquinic acid,C16H18O9,354.09508217,Polypodium vulgare,Polypodium,KNApSAcK
1,C00003583,33650-66-7,Osladin,C45H74O17,886.49260094,Polypodium vulgare,Polypodium,KNApSAcK
2,C00003583,33650-66-7,Osladin,C45H74O17,886.49260094,Polypodium niponicum,Polypodium,KNApSAcK
3,C00003651,3604-87-3,Ecdysone,C27H44O6,464.31378914,Polypodium virginianum,Polypodium,KNApSAcK
4,C00003651,3604-87-3,Ecdysone,C27H44O6,464.31378914,Polypodium vulgare,Polypodium,KNApSAcK
5,C00003654,5289-74-7,20-Hydroxyecdysone,C27H44O7,480.30870376,Polypodium virginianum,Polypodium,KNApSAcK
6,C00003665,1912-66-9,Pollinastanol,C28H48O,400.37051615,Polypodium niponicum,Polypodium,KNApSAcK
7,C00003666,18069-14-2,Polypodine B,C27H44O8,496.30361838,Polypodium vulgare,Polypodium,KNApSAcK
8,C00003748,58193-25-2,Hopane-29-acetate,C32H54O2,470.41238097,Polypodium juglandifolium,Polypodium,KNApSAcK
9,C00008836,114590-44-2,Afzelechin 7-O-beta-D-apiofuranoside,C20H22O9,406.1263823,Polypodium glycyrrhiza,Polypodium,KNApSAcK
10,C00008849,81905-13-7,Catechin 7-O-apiofuranoside,C20H22O10,422.12129692,Polypodium vulgare,Polypodium,KNApSAcK
11,C00008850,29289-02-9,Polydine,C20H22O10,422.12129692,Polypodium vulgare,Polypodium,KNApSAcK
12,C00050663,1259-94-5,24-Methylenecycloartanyl acetate,C33H54O2,482.41238097,Polypodium niponicum,Polypodium,KNApSAcK
13,C00051443,6915-15-7,Malic acid,C4H6O5,134.0215233,Polypodium vulgare,Polypodium,KNApSAcK
14,C00051443,6915-15-7,Malic acid,C4H6O5,134.0215233,Polypodium cuspidatum,Polypodium,KNApSAcK
15,C00051661,72247-03-1,Multiflor-7-ene,C30H50,410.39125159,Polypodium niponicum,Polypodium,KNApSAcK
16,C00051662,63543-59-9,Multiflor-8-ene,C30H50,410.39125159,Polypodium niponicum,Polypodium,KNApSAcK
17,C00051663,88206-86-4,Multiflor-9(11)-ene,C39H50,518.39125159,Polypodium niponicum,Polypodium,KNApSAcK
18,C00056920,119784-25-7,Polypodoside A,C45H72O17,884.47695088,Polypodium glycyrrhiza,Polypodium,KNApSAcK
19,C00056923,120015-16-9,Polypodoside B,C39H62O13,738.41904207,Polypodium glycyrrhiza,Polypodium,KNApSAcK
20,C00056924,120015-17-0,Polypodoside C,C40H64O13,752.43469213,Polypodium glycyrrhiza,Polypodium,KNApSAcK
21,C00057350,33285-16-4,Polypodosaponin,C39H62O13,738.41904207,Polypodium vulgare,Polypodium,KNApSAcK
