,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00054678,71144-75-7,6-Deoxy-alpha-L-mannopyranosyl-(1->3)-alpha-D-galactopyranosyl-(1->3)-6-deoxy-L-galactose,C18H32O14,472.17920573,Brasenia schreberi,Brasenia,KNApSAcK
0,C00001459,66575-40-4,Volkenin,C12H17NO7,287.10050191,Barteria fistulosa,Barteria,KNApSAcK
1,C00001698,31230-09-8,Callichiline,C42H48N4O5,688.36247067,Callichilia barteria,Barteria,KNApSAcK
0,C00003077,26660-57-1,7-Deoxyloganin,C17H26O9,374.15768243,Menyanthes spp.,Menyanthes,KNApSAcK
1,C00003088,18524-94-2,Loganin,C17H26O10,390.15259705,Menyanthes trifoliata,Menyanthes,KNApSAcK
2,C00003673,481-18-5,Spinasterol,C29H48O,412.37051615,Menyanthes trifoliata,Menyanthes,KNApSAcK
3,C00005372,482-36-0,Hyperin,C21H20O12,464.09547611,Menyanthes trifoliata L.,Menyanthes,KNApSAcK
4,C00005413,153-18-4,Quercetin 3-rutinoside,C27H30O16,610.15338491,Menyanthes trifoliata L.,Menyanthes,KNApSAcK
5,C00010616,60363-04-4,Onikulactone,C9H14O2,154.09937969,Menyanthes trifoliata,Menyanthes,KNApSAcK
6,C00010750,21848-66-8,Foliamenthin,C26H36O12,540.22067662,Menyanthes trifoliata,Menyanthes,KNApSAcK
7,C00010751,22314-48-3,Dihydrofoliamenthin,C26H38O12,542.23632668,Menyanthes trifoliata,Menyanthes,KNApSAcK
8,C00010752,19351-64-5,Menthiafolin,C26H36O12,540.22067662,Menyanthes trifoliata,Menyanthes,KNApSAcK
9,C00019144,5989-02-6,(-)-Loliolide,C11H16O3,196.10994438,Menyanthes trifoliata,Menyanthes,KNApSAcK
