,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00001694,20069-02-7,Brevicolline,C17H19N3,265.15789763,Carex brevicollis,Carex,KNApSAcK
1,C00001736,486-84-0,1-Methyl-beta-carboline,C12H10N2,182.08439833,Carex brevicollis DC.,Carex,KNApSAcK
2,C00001737,442-51-3,Harmine,C13H12N2O,212.09496302,Carex brevicollis DC.,Carex,KNApSAcK
3,C00002905,62218-08-0,(-)-epsilon-Viniferin,C28H22O6,454.14163844,Carex kobomugi,Carex,KNApSAcK
4,C00003825,2150-11-0,"3',4',7-Trihydroxyflavone",C15H10O5,270.05282343,Carex longebrachiata,Carex,KNApSAcK
5,C00004336,104759-65-1,Luteolin 3'-methyl ether 7-xyloside,C21H20O10,432.10564686,Carex nigromarginata,Carex,KNApSAcK
6,C00004348,,"Luteolin 3'-methyl ether 7,4'-dixyloside",C26H28O14,564.14790561,Carex nigromarginata,Carex,KNApSAcK
7,C00004443,,Tricin 7-xyloside,C22H22O11,462.11621155,Carex nigromarginata,Carex,KNApSAcK
8,C00015802,124027-58-3,Kobophenol A,C56H44O13,924.27819149,Carex kobomugi,Carex,KNApSAcK
9,C00015803,133383-20-7,Kobophenol B,C56H40O12,904.25197674,Carex pumila,Carex,KNApSAcK
10,C00015803,133383-20-7,Kobophenol B,C56H40O12,904.25197674,Carex pendula,Carex,KNApSAcK
11,C00015824,109617-36-9,Miyabenol A,C56H42O12,906.26762681,Carex fedia var.miyabei,Carex,KNApSAcK
12,C00015825,109605-83-6,Miyabenol C,C42H32O9,680.20463262,Carex kobomugi,Carex,KNApSAcK
13,C00034466,168037-22-7,cis-Miyabenol C,C42H32O9,680.20463262,Carex pendula,Carex,KNApSAcK
14,C00034811,885480-29-5,Carexane E,C20H20O4,324.13615913,Carex distachya,Carex,KNApSAcK
15,C00034812,885480-30-8,Carexane F,C20H20O5,340.13107375,Carex distachya,Carex,KNApSAcK
16,C00034813,885480-31-9,Carexane G,C20H20O5,340.13107375,Carex distachya,Carex,KNApSAcK
17,C00034814,894774-00-6,Carexane I,C21H24O3,324.17254463,Carex distachya,Carex,KNApSAcK
18,C00034815,894774-02-8,Carexane K,C21H22O4,338.15180919,Carex distachya,Carex,KNApSAcK
19,C00034816,894774-03-9,Carexane L,C21H22O5,354.14672381,Carex distachya,Carex,KNApSAcK
20,C00036910,351415-09-3,cis-Miyabenol A,C56H42O12,906.26762681,Carex pendula,Carex,KNApSAcK
21,C00042574,487-03-6,Harmol,C12H10N2O,198.07931296,Carex brevicollis DC.,Carex,KNApSAcK
0,C00000319,17092-92-1,Dihydroactinidiolide,C11H16O2,180.11502975,Eleocharis coloradensis,Eleocharis,KNApSAcK
1,C00008027,480-70-6,Aureusidin,C15H10O6,286.04773805,Eleocharis acuta,Eleocharis,KNApSAcK
0,C00000136,470-82-6,"1,8-Cineol",C10H18O,154.1357652,Cyperus rotundus L.,Cyperus,KNApSAcK
1,C00000149,6750-60-3,Espatulenol,C15H24O,220.18271539,Cyperus rotundus L.,Cyperus,KNApSAcK
2,C00000152,7400-08-0,p-Coumaric acid,C9H8O3,164.04734412,Cyperus papyrus,Cyperus,KNApSAcK
3,C00000152,7400-08-0,p-Coumaric acid,C9H8O3,164.04734412,Cyperus rotundus L.,Cyperus,KNApSAcK
4,C00000805,80-56-8,alpha-Pinene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
5,C00000816,127-91-3,beta-Pinene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
6,C00000823,138-86-3,Limonene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
7,C00000829,19894-98-5,trans-Pinocarveol,C10H16O,152.12011513,Cyperus rotundus L.,Cyperus,KNApSAcK
8,C00000853,123-35-3,beta-Myrcene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
9,C00000856,99-96-7,4-hydroxybenzoic acid,C7H6O3,138.03169406,Cyperus rotundus L.,Cyperus,KNApSAcK
10,C00000861,586-62-9,alpha-Terpinolene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
11,C00001036,520-34-3,Diosmetin,C16H12O6,300.06338812,Cyperus alopecuroides,Cyperus,KNApSAcK
12,C00001078,28608-75-5,Orientin,C21H20O11,448.10056148,Cyperus alopecuroides,Cyperus,KNApSAcK
13,C00001425,104-14-3,Octopamine,C8H11NO2,153.0789786,Cyperus papyrus,Cyperus,KNApSAcK
14,C00001425,104-14-3,Octopamine,C8H11NO2,153.0789786,Cyperus rotundus,Cyperus,KNApSAcK
15,C00002493,131-12-4,Pimpinellin,C13H10O5,246.05282343,Cyperus papyrus,Cyperus,KNApSAcK
16,C00002668,99-50-3,"3,4-Dihydroxybenzoic acid",C7H6O4,154.02660868,Cyperus rotundus L.,Cyperus,KNApSAcK
17,C00002682,121-34-6,Vanillic acid,C8H8O4,168.04225874,Cyperus rotundus L.,Cyperus,KNApSAcK
18,C00002743,1135-24-6,Ferulic acid,C10H10O4,194.05790881,Cyperus rotundus L.,Cyperus,KNApSAcK
19,C00002743,1135-24-6,Ferulic acid,C10H10O4,194.05790881,Cyperus papyrus,Cyperus,KNApSAcK
20,C00002811,26962-40-3,Cyperaquinone,C14H10O4,242.05790881,Cyperus haspan,Cyperus,KNApSAcK
21,C00002985,33716-82-4,Cyperine,C15H16O4,260.104859,Cyperus rotundus,Cyperus,KNApSAcK
22,C00003028,507-70-0,Borneol,C10H18O,154.1357652,Cyperus rotundus L.,Cyperus,KNApSAcK
23,C00003029,79-92-5,Camphene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
24,C00003039,122-03-2,Cuminal,C10H12O,148.08881501,Cyperus rotundus L.,Cyperus,KNApSAcK
25,C00003040,99-87-6,p-Cymene,C10H14,134.10955045,Cyperus rotundus L.,Cyperus,KNApSAcK
26,C00003051,99-83-2,alpha-Phellandrene,C10H16,136.12520051,Cyperus rotundus L.,Cyperus,KNApSAcK
27,C00003067,18309-32-5,(R)-(+)-Verbenone,C10H14O,150.10446507,Cyperus rotundus L.,Cyperus,KNApSAcK
28,C00003110,87-44-5,beta-Caryophyllene,C15H24,204.18780077,Cyperus rotundus L.,Cyperus,KNApSAcK
29,C00003110,87-44-5,beta-Caryophyllene,C15H24,204.18780077,Cyperus alopecuroides,Cyperus,KNApSAcK
30,C00003118,3856-25-5,alpha-Copaene,C15H24,204.18780077,Cyperus alopecuroides,Cyperus,KNApSAcK
31,C00003118,3856-25-5,alpha-Copaene,C15H24,204.18780077,Cyperus rotundus,Cyperus,KNApSAcK
32,C00003120,17699-14-8,alpha-Cubebene,C15H24,204.18780077,Cyperus alopecuroides,Cyperus,KNApSAcK
33,C00003134,15423-57-1,Germacrene B,C15H24,204.18780077,Cyperus rotundus L.,Cyperus,KNApSAcK
34,C00003147,6753-98-6,alpha-Caryophyllene (obsol.),C15H24,204.18780077,Cyperus rotundus L.,Cyperus,KNApSAcK
35,C00003157,22963-93-5,Juvenile hormone III,C16H26O3,266.1881947,Cyperus iria,Cyperus,KNApSAcK
36,C00003186,17066-67-0,beta-Eudesmene,C15H24,204.18780077,Cyperus rotundus,Cyperus,KNApSAcK
37,C00003186,17066-67-0,beta-Eudesmene,C15H24,204.18780077,Cyperus alopecuroides,Cyperus,KNApSAcK
38,C00003191,61167-63-3,Solavetivone,C15H22O,218.16706532,Cyperus rotundus L.,Cyperus,KNApSAcK
39,C00003467,150-86-7,Phytol,C20H40O,296.3079159,Cyperus rotundus L.,Cyperus,KNApSAcK
40,C00003864,58115-29-0,Luteolin 5-methyl ether,C16H12O6,300.06338812,Cyperus spp.,Cyperus,KNApSAcK
41,C00004638,2068-02-2,"Quercetin 3,7-dimethyl ether",C17H14O7,330.0739528,Cyperus spp.,Cyperus,KNApSAcK
42,C00004639,4382-17-6,"3,3'-Dimethylquercetin",C17H14O7,330.0739528,Cyperus alopecuroides,Cyperus,KNApSAcK
43,C00004640,33429-83-3,"Quercetin 3,4'-dimethyl ether",C17H14O7,330.0739528,Cyperus alopecuroides,Cyperus,KNApSAcK
44,C00005515,105755-71-3,Rhamnetin 3-rhamnosyl-(1->4)-rhamnoside,C28H32O15,608.17412036,Cyperus rotundus,Cyperus,KNApSAcK
45,C00006229,23666-13-9,Vicenin,C27H30O15,594.15847029,Cyperus alopecuroides,Cyperus,KNApSAcK
46,C00007453,33880-83-0,beta-Elemene,C15H24,204.18780077,Cyperus rotundus L.,Cyperus,KNApSAcK
47,C00007636,483-76-1,delta-Cadinene,C15H24,204.18780077,Cyperus alopecuroides,Cyperus,KNApSAcK
